,x,y,match_scores,matched_addresses
0,"-80.18997300000001,-80.18997300000001,-80.18653999999998,-82.25047999999998","25.941329999999997,25.941329999999997,25.94559000000004,28.02167000000003","99.34,99.22,82.36,79.29","SR 860 & I-95, miami, Florida, USA,SR 860 & I-95, Florida, USA,SR 860, exit 14, miami, Florida, USA,SR 860, exit 14, Florida, USA"
1,"-80.20244880194872,-84.27911999999998,-80.20834227653631,-80.20834227653631,-80.20244880194872,-81.35450999999995,-80.20244880194872,-81.63437418124894,-80.20244880194872,-81.68864878999995,-80.2133665888982,-80.2071315,-80.2071315,-80.2071315,-80.20834227653631,-80.20834227653631,-80.20244880194872,-81.54712736510078,-80.20244880194872,-81.35450999999995","25.869411969155827,30.587300000000027,25.869203999999996,25.869203999999996,25.869411969155827,28.867770000000064,25.869411969155827,28.139782556442103,25.869411969155827,28.56604489500006,25.868955925600336,25.869293999999996,25.869293999999996,25.869293999999996,25.869203999999996,25.869203999999996,25.869411969155827,28.61540964586903,25.869411969155827,28.867770000000064","85,78.55,97.14,96.6,90,87.8,90,86.54,88.33,76,97.81,97.39,99.67,99.61,97.71,97.27,90,84.27,91.92,90.45","SR 932 & blocked la street, miami, Florida, USA,SR 932 & blocked la street, Florida, USA,SR 932 & on 95 expressway, miami, Florida, USA,SR 932 & on 95 expressway, Florida, USA,SR 932 & st le fort, miami, Florida, USA,SR 932 & st le fort, Florida, USA,SR 932 & la street, miami, Florida, USA,SR 932 & la street, Florida, USA,SR 932 & st left lane, miami, Florida, USA,SR 932 & st left lane, Florida, USA,SR 932 & sr-932nw 103 street, miami, Florida, USA,SR 932 & sr-932nw 103 street, Florida, USA,SR 932 & 103 street, miami, Florida, USA,SR 932 & 103 street, Florida, USA,SR 932 & 95 expressway, miami, Florida, USA,SR 932 & 95 expressway, Florida, USA,SR 932 & left lane, miami, Florida, USA,SR 932 & left lane, Florida, USA,SR 932 & le fort, miami, Florida, USA,SR 932 & le fort, Florida, USA"
2,"-80.19772999999998,-81.63437418124894,-80.19772999999998,-81.54712736510078,-80.19772999999998,-84.27911999999998,-80.19772999999998,-81.35450999999995,-80.19772999999998,-80.41755956647565,-80.19772999999998,-81.63437418124894,-80.25115999999997,-80.25115999999997,-80.255889,-80.255889,-80.255889,-80.2558935,-80.41755956647565,-81.50962401024375,-80.19772999999998,-81.54712736510078,-80.345673,-81.35450999999995","25.77481000000006,28.139782556442103,25.77481000000006,28.61540964586903,25.77481000000006,30.587300000000027,25.77481000000006,28.867770000000064,25.77481000000006,25.776507659312323,25.77481000000006,28.139782556442103,25.838430000000074,25.838430000000074,25.785927,25.785927,25.785927,25.78606200000001,25.776507659312323,27.590209722221115,25.77481000000006,28.61540964586903,25.944390000000006,28.867770000000064","81.43,81.36,80,80.94,80,78.55,80.69,86.65,80,76.21,81.43,86.54,86.49,85.95,93.89,92.7,94.21,93.09,82.01,81.81,81.43,84.27,83.55,90.45","SR 836 & we street, miami, Florida, USA,SR 836 & we street, Florida, USA,SR 836 & ave left lane, miami, Florida, USA,SR 836 & ave left lane, Florida, USA,SR 836 & blocked la street, miami, Florida, USA,SR 836 & blocked la street, Florida, USA,SR 836 & ave le fort, miami, Florida, USA,SR 836 & ave le fort, Florida, USA,SR 836 & sr-836 we street, miami, Florida, USA,SR 836 & sr-836 we street, Florida, USA,SR 836 & la street, miami, Florida, USA,SR 836 & la street, Florida, USA,SR 836 & w estate, miami, Florida, USA,SR 836 & w estate, Florida, USA,SR 836 & 37 avenue, miami, Florida, USA,SR 836 & 37 avenue, Florida, USA,SR 836 & nw 37 avenue, miami, Florida, USA,SR 836 & nw 37 avenue, Florida, USA,SR 836 & sr-836 w estate, miami, Florida, USA,SR 836 & sr-836 w estate, Florida, USA,SR 836 & left lane, miami, Florida, USA,SR 836 & left lane, Florida, USA,SR 836 & le fort, miami, Florida, USA,SR 836 & le fort, Florida, USA"
3,None,None,None,None
4,None,None,None,None
5,"-84.27911999999998,-81.63437418124894,-80.44668899999999,-80.79011511527169,-80.44668899999999,-82.47819999999996","30.587300000000027,28.139782556442103,27.730376999999997,28.366153278550417,27.730376999999997,27.972300000000075","80.09,90.99,93.95,89.21,94.19,91.48","I-75 & blocked la street, Florida, USA,I-75 & la street, Florida, USA,I-75 & 58 rig heights, Florida, USA,I-75 & right lane, Florida, USA,I-75 & 58 right lane, Florida, USA,I-75 & rig heights, Florida, USA"
6,"-80.563543592765,-81.40196699999998,-80.30500999999998,-81.35835999999995","28.078580384027656,28.42997400000001,25.694070000000067,28.53812000000005","85.07,89.87,65.72,74.99","Turnpike & I-95, miami, Florida, USA,Turnpike & I-95, Florida, USA,Turnpike, exit 12a, miami, Florida, USA,Turnpike, exit 12a, Florida, USA"
7,"-81.4588785,-81.45270999999997","28.471446,28.47658000000007","99.22,93.88","I-4 & SR 435, Florida, USA,I-4, exit 75, Florida, USA"
8,"-80.18997300000001,-80.18997300000001,-80.18653999999998,-82.25047999999998","25.941329999999997,25.941329999999997,25.94559000000004,28.02167000000003","99.34,99.22,82.36,79.29","SR 860 & I-95, miami, Florida, USA,SR 860 & I-95, Florida, USA,SR 860, exit 14, miami, Florida, USA,SR 860, exit 14, Florida, USA"
9,"-81.4588785,-81.45270999999997","28.471446,28.47658000000007","99.22,93.88","I-4 & SR 435, Florida, USA,I-4, exit 75, Florida, USA"
