,x,y,match_scores,matched_addresses
0,None,None,None,None
1,None,None,None,None
2,"-78.66669784079957,-78.67602,-78.67602,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.202680824637454,35.329617,35.329617,35.64453000000003,35.64453000000003,35.64453000000003","97.31,94.74,98.16,73.09,74.88,95.44","I-40 & NC 82, cumberland county, North Carolina, USA,I-40 & NC 82, johnston county, North Carolina, USA,I-40 & NC 82, North Carolina, USA,I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, johnston county, North Carolina, USA,I-40, exit 81, North Carolina, USA"
3,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
4,None,None,None,None
5,None,None,None,None
6,None,None,None,None
7,None,None,None,None
8,None,None,None,None
9,None,None,None,None
10,None,None,None,None
11,None,None,None,None
12,None,None,None,None
13,None,None,None,None
14,None,None,None,None
15,None,None,None,None
16,"-78.66669784079957,-78.67602,-78.67602,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.202680824637454,35.329617,35.329617,35.64453000000003,35.64453000000003,35.64453000000003","97.31,94.74,98.16,73.09,74.88,95.44","I-40 & NC 82, cumberland county, North Carolina, USA,I-40 & NC 82, johnston county, North Carolina, USA,I-40 & NC 82, North Carolina, USA,I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, johnston county, North Carolina, USA,I-40, exit 81, North Carolina, USA"
17,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
18,None,None,None,None
19,None,None,None,None
20,None,None,None,None
21,None,None,None,None
22,"-78.66669784079957,-78.67602,-78.67602,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.202680824637454,35.329617,35.329617,35.64453000000003,35.64453000000003,35.64453000000003","97.31,94.74,98.16,73.09,74.88,95.44","I-40 & NC 82, cumberland county, North Carolina, USA,I-40 & NC 82, johnston county, North Carolina, USA,I-40 & NC 82, North Carolina, USA,I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, johnston county, North Carolina, USA,I-40, exit 81, North Carolina, USA"
23,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
24,None,None,None,None
25,None,None,None,None
26,None,None,None,None
27,None,None,None,None
28,None,None,None,None
29,None,None,None,None
30,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
31,None,None,None,None
32,None,None,None,None
33,None,None,None,None
34,None,None,None,None
35,None,None,None,None
36,None,None,None,None
37,None,None,None,None
38,None,None,None,None
39,None,None,None,None
40,None,None,None,None
41,None,None,None,None
42,None,None,None,None
43,"-78.66669784079957,-78.67602,-78.67602,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.202680824637454,35.329617,35.329617,35.64453000000003,35.64453000000003,35.64453000000003","97.31,94.74,98.16,73.09,74.88,95.44","I-40 & NC 82, cumberland county, North Carolina, USA,I-40 & NC 82, johnston county, North Carolina, USA,I-40 & NC 82, North Carolina, USA,I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, johnston county, North Carolina, USA,I-40, exit 81, North Carolina, USA"
44,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
45,None,None,None,None
46,"-78.99949400987859,-78.6017295,-81.14287303606918,-79.92283999999995,-77.80395929516995,-121.10899999999998,-79.92283999999995,-77.93253578077189,-104.59524999999996","35.64334898701866,35.81007300000001,36.16861314752081,36.121590000000026,35.93557653563412,37.32314000000008,36.121590000000026,34.18302021374551,36.44614000000007","91.69,97.37,91.69,60.52,89.45,69.93,60.52,89.45,69.67","I-440 & I-540, king, North Carolina, USA,I-440 & I-540, raleigh, North Carolina, USA,I-440 & I-540, North Carolina, USA,I-440, exit 423, king, North Carolina, USA,I-440, exit 423, raleigh, North Carolina, USA,I-440, exit 423, North Carolina, USA,I-440, exit 419, king, North Carolina, USA,I-440, exit 419, raleigh, North Carolina, USA,I-440, exit 419, North Carolina, USA"
47,"-78.2040015,-78.2040015,-78.2040015,-78.2782705622069,-80.35874999999999,-80.35874999999999,-78.22457421630033,-78.2040015,-78.2040015,-78.2782705622069,-78.18641099999999,-78.3176895","36.444366,36.444366,36.444366,36.421520613251786,36.281750000000045,36.281750000000045,36.46654914562078,36.444366,36.444366,36.421520613251786,36.45164700000001,36.40186800000001","100,98.71,100,88.59,84.26,82.53,92.39,85.53,89.71,93.55,87.81,91.08","US 1 & oine road, warren county, North Carolina, USA,US 1 & oine road, king, North Carolina, USA,US 1 & oine road, North Carolina, USA,US 1 & blocking the road, warren county, North Carolina, USA,US 1 & blocking the road, king, North Carolina, USA,US 1 & blocking the road, North Carolina, USA,US 1 & between oine road, warren county, North Carolina, USA,US 1 & between oine road, king, North Carolina, USA,US 1 & between oine road, North Carolina, USA,US 1 & the road, warren county, North Carolina, USA,US 1 & the road, king, North Carolina, USA,US 1 & the road, North Carolina, USA"
48,None,None,None,None
49,None,None,None,None
50,None,None,None,None
51,None,None,None,None
52,None,None,None,None
53,None,None,None,None
54,None,None,None,None
55,"-78.66669784079957,-78.67602,-78.67602,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.202680824637454,35.329617,35.329617,35.64453000000003,35.64453000000003,35.64453000000003","97.31,94.74,98.16,73.09,74.88,95.44","I-40 & NC 82, cumberland county, North Carolina, USA,I-40 & NC 82, johnston county, North Carolina, USA,I-40 & NC 82, North Carolina, USA,I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, johnston county, North Carolina, USA,I-40, exit 81, North Carolina, USA"
56,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
57,None,None,None,None
58,None,None,None,None
59,None,None,None,None
60,None,None,None,None
61,None,None,None,None
62,"-80.80877999999996,-80.80877999999996","35.27660000000003,35.27660000000003","62.04,73.46","I-40, exit 298, wake county, North Carolina, USA,I-40, exit 298, North Carolina, USA"
63,-78.76902999999999,35.83414000000005,95.76,"I-40, exit 287, North Carolina, USA"
64,None,None,None,None
65,None,None,None,None
66,"-78.66669784079957,-78.67602,-78.67602,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.202680824637454,35.329617,35.329617,35.64453000000003,35.64453000000003,35.64453000000003","97.31,94.74,98.16,73.09,74.88,95.44","I-40 & NC 82, cumberland county, North Carolina, USA,I-40 & NC 82, johnston county, North Carolina, USA,I-40 & NC 82, North Carolina, USA,I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, johnston county, North Carolina, USA,I-40, exit 81, North Carolina, USA"
67,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
68,None,None,None,None
69,"-78.15413630211816,-78.66669784079957,-66.00620551827393","35.92388102640822,35.202680824637454,18.428122564555192","95.88,96.5,92.16","US 64 & NC 82, nash county, North Carolina, USA,US 64 & NC 82, cumberland county, North Carolina, USA,US 64 & NC 82, North Carolina, USA"
70,None,None,None,None
71,None,None,None,None
72,None,None,None,None
73,None,None,None,None
74,None,None,None,None
75,None,None,None,None
76,None,None,None,None
77,None,None,None,None
78,None,None,None,None
79,None,None,None,None
80,None,None,None,None
81,None,None,None,None
82,None,None,None,None
83,None,None,None,None
84,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
85,None,None,None,None
86,"-78.60828999999995,-78.60828999999995,-78.60828999999995,-78.69363999999996,-78.69363999999996,-78.69363999999996","35.818310000000054,35.818310000000054,35.818310000000054,35.799960000000056,35.799960000000056,35.799960000000056","94.79,86.27,93.77,94.9,96.05,93.91","I-440, exit 11, wake county, North Carolina, USA,I-440, exit 11, wade, North Carolina, USA,I-440, exit 11, North Carolina, USA,I-440, exit 4, wake county, North Carolina, USA,I-440, exit 4, wade, North Carolina, USA,I-440, exit 4, North Carolina, USA"
87,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
88,"-78.15413630211816,-78.66669784079957,-66.00620551827393","35.92388102640822,35.202680824637454,18.428122564555192","95.88,96.5,92.16","US 64 & NC 82, nash county, North Carolina, USA,US 64 & NC 82, cumberland county, North Carolina, USA,US 64 & NC 82, North Carolina, USA"
89,None,None,None,None
90,None,None,None,None
91,None,None,None,None
92,None,None,None,None
93,None,None,None,None
94,None,None,None,None
95,None,None,None,None
96,None,None,None,None
97,"-78.49612301684357,-78.1797732293267,-78.27046309520492,-78.19015999999993,-78.19015999999993,-78.19015999999993","35.20946955704083,34.9880653707882,35.03474018592397,35.12073000000004,35.12073000000004,35.12073000000004","90.84,91.77,92.5,75.71,71.53,84.22","NC 403 & I-95, benson, North Carolina, USA,NC 403 & I-95, wilmington, North Carolina, USA,NC 403 & I-95, North Carolina, USA,NC 403, exit 328, benson, North Carolina, USA,NC 403, exit 328, wilmington, North Carolina, USA,NC 403, exit 328, North Carolina, USA"
98,None,None,None,None
99,None,None,None,None
