,road,abbrevs
30,US 11,"us 11,us-11,us11,u.s. 11,u.s.-11,u.s.11,us route 11,us route-11,us route11,u.s. route 11,u.s. route-11,u.s. route11,us rte 11,us rte-11,us rte11,u.s. rte 11,u.s. rte-11,u.s. rte11,us-route 11,us-route-11,us-route11,u.s.-route 11,u.s.-route-11,u.s.-route11,us-rte 11,us-rte-11,us-rte11,u.s.-rte 11,u.s.-rte-11,u.s.-rte11"
31,US 12,"us 12,us-12,us12,u.s. 12,u.s.-12,u.s.12,us route 12,us route-12,us route12,u.s. route 12,u.s. route-12,u.s. route12,us rte 12,us rte-12,us rte12,u.s. rte 12,u.s. rte-12,u.s. rte12,us-route 12,us-route-12,us-route12,u.s.-route 12,u.s.-route-12,u.s.-route12,us-rte 12,us-rte-12,us-rte12,u.s.-rte 12,u.s.-rte-12,u.s.-rte12"
32,US 13,"us 13,us-13,us13,u.s. 13,u.s.-13,u.s.13,us route 13,us route-13,us route13,u.s. route 13,u.s. route-13,u.s. route13,us rte 13,us rte-13,us rte13,u.s. rte 13,u.s. rte-13,u.s. rte13,us-route 13,us-route-13,us-route13,u.s.-route 13,u.s.-route-13,u.s.-route13,us-rte 13,us-rte-13,us-rte13,u.s.-rte 13,u.s.-rte-13,u.s.-rte13"
33,US 14,"us 14,us-14,us14,u.s. 14,u.s.-14,u.s.14,us route 14,us route-14,us route14,u.s. route 14,u.s. route-14,u.s. route14,us rte 14,us rte-14,us rte14,u.s. rte 14,u.s. rte-14,u.s. rte14,us-route 14,us-route-14,us-route14,u.s.-route 14,u.s.-route-14,u.s.-route14,us-rte 14,us-rte-14,us-rte14,u.s.-rte 14,u.s.-rte-14,u.s.-rte14"
34,US 15,"us 15,us-15,us15,u.s. 15,u.s.-15,u.s.15,us route 15,us route-15,us route15,u.s. route 15,u.s. route-15,u.s. route15,us rte 15,us rte-15,us rte15,u.s. rte 15,u.s. rte-15,u.s. rte15,us-route 15,us-route-15,us-route15,u.s.-route 15,u.s.-route-15,u.s.-route15,us-rte 15,us-rte-15,us-rte15,u.s.-rte 15,u.s.-rte-15,u.s.-rte15"
35,US 16,"us 16,us-16,us16,u.s. 16,u.s.-16,u.s.16,us route 16,us route-16,us route16,u.s. route 16,u.s. route-16,u.s. route16,us rte 16,us rte-16,us rte16,u.s. rte 16,u.s. rte-16,u.s. rte16,us-route 16,us-route-16,us-route16,u.s.-route 16,u.s.-route-16,u.s.-route16,us-rte 16,us-rte-16,us-rte16,u.s.-rte 16,u.s.-rte-16,u.s.-rte16"
36,US 17,"us 17,us-17,us17,u.s. 17,u.s.-17,u.s.17,us route 17,us route-17,us route17,u.s. route 17,u.s. route-17,u.s. route17,us rte 17,us rte-17,us rte17,u.s. rte 17,u.s. rte-17,u.s. rte17,us-route 17,us-route-17,us-route17,u.s.-route 17,u.s.-route-17,u.s.-route17,us-rte 17,us-rte-17,us-rte17,u.s.-rte 17,u.s.-rte-17,u.s.-rte17"
37,US 18,"us 18,us-18,us18,u.s. 18,u.s.-18,u.s.18,us route 18,us route-18,us route18,u.s. route 18,u.s. route-18,u.s. route18,us rte 18,us rte-18,us rte18,u.s. rte 18,u.s. rte-18,u.s. rte18,us-route 18,us-route-18,us-route18,u.s.-route 18,u.s.-route-18,u.s.-route18,us-rte 18,us-rte-18,us-rte18,u.s.-rte 18,u.s.-rte-18,u.s.-rte18"
38,US 19,"us 19,us-19,us19,u.s. 19,u.s.-19,u.s.19,us route 19,us route-19,us route19,u.s. route 19,u.s. route-19,u.s. route19,us rte 19,us rte-19,us rte19,u.s. rte 19,u.s. rte-19,u.s. rte19,us-route 19,us-route-19,us-route19,u.s.-route 19,u.s.-route-19,u.s.-route19,us-rte 19,us-rte-19,us-rte19,u.s.-rte 19,u.s.-rte-19,u.s.-rte19"
39,US 20,"us 20,us-20,us20,u.s. 20,u.s.-20,u.s.20,us route 20,us route-20,us route20,u.s. route 20,u.s. route-20,u.s. route20,us rte 20,us rte-20,us rte20,u.s. rte 20,u.s. rte-20,u.s. rte20,us-route 20,us-route-20,us-route20,u.s.-route 20,u.s.-route-20,u.s.-route20,us-rte 20,us-rte-20,us-rte20,u.s.-rte 20,u.s.-rte-20,u.s.-rte20"
40,US 21,"us 21,us-21,us21,u.s. 21,u.s.-21,u.s.21,us route 21,us route-21,us route21,u.s. route 21,u.s. route-21,u.s. route21,us rte 21,us rte-21,us rte21,u.s. rte 21,u.s. rte-21,u.s. rte21,us-route 21,us-route-21,us-route21,u.s.-route 21,u.s.-route-21,u.s.-route21,us-rte 21,us-rte-21,us-rte21,u.s.-rte 21,u.s.-rte-21,u.s.-rte21"
41,US 22,"us 22,us-22,us22,u.s. 22,u.s.-22,u.s.22,us route 22,us route-22,us route22,u.s. route 22,u.s. route-22,u.s. route22,us rte 22,us rte-22,us rte22,u.s. rte 22,u.s. rte-22,u.s. rte22,us-route 22,us-route-22,us-route22,u.s.-route 22,u.s.-route-22,u.s.-route22,us-rte 22,us-rte-22,us-rte22,u.s.-rte 22,u.s.-rte-22,u.s.-rte22"
42,US 23,"us 23,us-23,us23,u.s. 23,u.s.-23,u.s.23,us route 23,us route-23,us route23,u.s. route 23,u.s. route-23,u.s. route23,us rte 23,us rte-23,us rte23,u.s. rte 23,u.s. rte-23,u.s. rte23,us-route 23,us-route-23,us-route23,u.s.-route 23,u.s.-route-23,u.s.-route23,us-rte 23,us-rte-23,us-rte23,u.s.-rte 23,u.s.-rte-23,u.s.-rte23"
43,US 24,"us 24,us-24,us24,u.s. 24,u.s.-24,u.s.24,us route 24,us route-24,us route24,u.s. route 24,u.s. route-24,u.s. route24,us rte 24,us rte-24,us rte24,u.s. rte 24,u.s. rte-24,u.s. rte24,us-route 24,us-route-24,us-route24,u.s.-route 24,u.s.-route-24,u.s.-route24,us-rte 24,us-rte-24,us-rte24,u.s.-rte 24,u.s.-rte-24,u.s.-rte24"
44,US 25,"us 25,us-25,us25,u.s. 25,u.s.-25,u.s.25,us route 25,us route-25,us route25,u.s. route 25,u.s. route-25,u.s. route25,us rte 25,us rte-25,us rte25,u.s. rte 25,u.s. rte-25,u.s. rte25,us-route 25,us-route-25,us-route25,u.s.-route 25,u.s.-route-25,u.s.-route25,us-rte 25,us-rte-25,us-rte25,u.s.-rte 25,u.s.-rte-25,u.s.-rte25"
45,US 26,"us 26,us-26,us26,u.s. 26,u.s.-26,u.s.26,us route 26,us route-26,us route26,u.s. route 26,u.s. route-26,u.s. route26,us rte 26,us rte-26,us rte26,u.s. rte 26,u.s. rte-26,u.s. rte26,us-route 26,us-route-26,us-route26,u.s.-route 26,u.s.-route-26,u.s.-route26,us-rte 26,us-rte-26,us-rte26,u.s.-rte 26,u.s.-rte-26,u.s.-rte26"
46,US 27,"us 27,us-27,us27,u.s. 27,u.s.-27,u.s.27,us route 27,us route-27,us route27,u.s. route 27,u.s. route-27,u.s. route27,us rte 27,us rte-27,us rte27,u.s. rte 27,u.s. rte-27,u.s. rte27,us-route 27,us-route-27,us-route27,u.s.-route 27,u.s.-route-27,u.s.-route27,us-rte 27,us-rte-27,us-rte27,u.s.-rte 27,u.s.-rte-27,u.s.-rte27"
47,US 29,"us 29,us-29,us29,u.s. 29,u.s.-29,u.s.29,us route 29,us route-29,us route29,u.s. route 29,u.s. route-29,u.s. route29,us rte 29,us rte-29,us rte29,u.s. rte 29,u.s. rte-29,u.s. rte29,us-route 29,us-route-29,us-route29,u.s.-route 29,u.s.-route-29,u.s.-route29,us-rte 29,us-rte-29,us-rte29,u.s.-rte 29,u.s.-rte-29,u.s.-rte29"
48,US 30,"us 30,us-30,us30,u.s. 30,u.s.-30,u.s.30,us route 30,us route-30,us route30,u.s. route 30,u.s. route-30,u.s. route30,us rte 30,us rte-30,us rte30,u.s. rte 30,u.s. rte-30,u.s. rte30,us-route 30,us-route-30,us-route30,u.s.-route 30,u.s.-route-30,u.s.-route30,us-rte 30,us-rte-30,us-rte30,u.s.-rte 30,u.s.-rte-30,u.s.-rte30"
49,US 31,"us 31,us-31,us31,u.s. 31,u.s.-31,u.s.31,us route 31,us route-31,us route31,u.s. route 31,u.s. route-31,u.s. route31,us rte 31,us rte-31,us rte31,u.s. rte 31,u.s. rte-31,u.s. rte31,us-route 31,us-route-31,us-route31,u.s.-route 31,u.s.-route-31,u.s.-route31,us-rte 31,us-rte-31,us-rte31,u.s.-rte 31,u.s.-rte-31,u.s.-rte31"
50,US 33,"us 33,us-33,us33,u.s. 33,u.s.-33,u.s.33,us route 33,us route-33,us route33,u.s. route 33,u.s. route-33,u.s. route33,us rte 33,us rte-33,us rte33,u.s. rte 33,u.s. rte-33,u.s. rte33,us-route 33,us-route-33,us-route33,u.s.-route 33,u.s.-route-33,u.s.-route33,us-rte 33,us-rte-33,us-rte33,u.s.-rte 33,u.s.-rte-33,u.s.-rte33"
