,x,y,match_scores,matched_addresses
0,-81.10689999999994,34.03313000000003,92.75,"I-26, exit 108a, South Carolina, USA"
1,"-80.94913999999994,-80.60414999999995","34.01688000000007,33.19840000000005","93.95,73.46","I-77, exit 12, South Carolina, USA,I-77, exit 15b, South Carolina, USA"
2,"-81.0879885410784,-82.22453368074487,-81.0989563913393,-79.87839999999994,-81.04499080982093,-79.80443999999994,-81.04499080982093,-79.80443999999994,-81.0989563913393,-81.0989563913393,-81.0879885410784,-82.22453368074487","34.01667561564588,34.856221717835126,34.032179067137996,33.52347000000003,33.997949801432114,33.096550000000036,33.997949801432114,33.096550000000036,34.032179067137996,34.032179067137996,34.01667561564588,34.856221717835126","90.44,90.38,89.41,87.59,88.46,83.71,81.91,79,92.25,89.97,87.55,88.05","I-126 & l fort, columbia, South Carolina, USA,I-126 & l fort, South Carolina, USA,I-126 & st lft lane, columbia, South Carolina, USA,I-126 & st lft lane, South Carolina, USA,I-126 & avehuger street, columbia, South Carolina, USA,I-126 & avehuger street, South Carolina, USA,I-126 & freeway-elwood avehuger street, columbia, South Carolina, USA,I-126 & freeway-elwood avehuger street, South Carolina, USA,I-126 & lft lane, columbia, South Carolina, USA,I-126 & lft lane, South Carolina, USA,I-126 & st l fort, columbia, South Carolina, USA,I-126 & st l fort, South Carolina, USA"
3,-79.98303999999996,32.89385000000004,73.29,"I-20, exit 64a, South Carolina, USA"
4,"-79.98303999999996,-81.12488999999994","32.89385000000004,34.028530000000046","73.29,92.56","I-20, exit 64a, South Carolina, USA,I-20, exit 63, South Carolina, USA"
5,"-81.1048995,-81.1048995,-81.10689999999994,-81.10689999999994","34.031583,34.031583,34.03313000000003,34.03313000000003","99.34,99.22,92.1,90.28","I-26 & I-126, columbia, South Carolina, USA,I-26 & I-126, South Carolina, USA,I-26, exit 107a, columbia, South Carolina, USA,I-26, exit 107a, South Carolina, USA"
6,"-82.57059999999996,-81.18891999999994","35.706470000000024,35.28415000000007","86.65,86.65","I-77, exit 19, South Carolina, USA,I-77, exit 17, South Carolina, USA"
7,-80.60414999999995,33.19840000000005,75.1,"I-77, exit 48, South Carolina, USA"
8,"-82.57059999999996,-80.92184999999995","35.706470000000024,34.062940000000026","86.65,93.95","I-77, exit 19, South Carolina, USA,I-77, exit 16, South Carolina, USA"
9,"-82.57059999999996,-80.92184999999995","35.706470000000024,34.062940000000026","86.65,93.95","I-77, exit 19, South Carolina, USA,I-77, exit 16, South Carolina, USA"
10,-78.66648999999995,35.20554000000004,86.88,"I-20, exit 65, South Carolina, USA"
11,"-82.57059999999996,-80.92184999999995","35.706470000000024,34.062940000000026","86.65,93.95","I-77, exit 19, South Carolina, USA,I-77, exit 16, South Carolina, USA"
12,-78.66648999999995,35.20554000000004,86.88,"I-20, exit 65, South Carolina, USA"
13,-80.65448999999995,35.43682000000007,86.33,"I-20, exit 55, South Carolina, USA"
14,-80.65448999999995,35.43682000000007,86.33,"I-20, exit 55, South Carolina, USA"
15,-80.92184999999995,34.062940000000026,93.95,"I-77, exit 16, South Carolina, USA"
16,-80.88908999999995,35.16628000000003,92.91,"I-77, exit 5, South Carolina, USA"
