,x,y,match_scores,matched_addresses
0,"-82.68847686045055,-81.52194999999995","30.17985367584481,30.29099000000008","99.22,82.81","US 90 & I-75, Florida, USA,US 90, exit 427, Florida, USA"
1,"-84.27911999999998,-83.65255493814433,-81.660951,-86.792418,-83.65255493814433,-81.35450999999995,-81.792774,-81.752031,-81.792774,-81.660951","30.587300000000027,30.43819877319588,30.34898100000001,30.685149000000006,30.43819877319588,28.867770000000064,30.314970000000002,30.315627,30.314970000000002,30.34898100000001","80.09,85.23,94.92,95.91,82,93.66,99.61,89.25,91.07,95.5","I-10 & blocked la street, Florida, USA,I-10 & la street, Florida, USA,I-10 & blvd left lane, Florida, USA,I-10 & i-10 ea street, Florida, USA,I-10 & ea street, Florida, USA,I-10 & le fort, Florida, USA,I-10 & hammond boulevard, Florida, USA,I-10 & left lane, Florida, USA,I-10 & before hammond boulevard, Florida, USA,I-10 & blvd le fort, Florida, USA"
2,"-82.2498023676448,-84.27911999999998,-82.2498023676448,-81.63437418124894,-82.2498023676448,-82.72731029569856,-82.23903,-82.23903,-82.2498023676448,-80.25115999999997,-82.430253,-82.430253,-82.430253,-82.430253,-82.2498023676448,-81.35450999999995,-82.2498023676448,-82.72731029569856,-82.430253,-82.430253,-82.2498023676448,-81.35450999999995,-82.430253,-82.43025300000001,-82.2498023676448,-82.72731029569856,-82.2498023676448,-81.54712736510078,-82.2498023676448,-80.25115999999997,-82.372338,-82.372338","29.67963587284159,30.587300000000027,29.67963587284159,28.139782556442103,29.67963587284159,30.27025194841567,29.687886000000006,29.687886000000006,29.67963587284159,25.838430000000074,29.688759000000005,29.688759000000005,29.688759000000005,29.688759000000005,29.67963587284159,28.867770000000064,29.67963587284159,30.27025194841567,29.688759000000005,29.688759000000005,29.67963587284159,28.867770000000064,29.688759000000005,29.688758999999997,29.67963587284159,30.27025194841567,29.67963587284159,28.61540964586903,29.67963587284159,25.838430000000074,29.688642,29.688642","85.81,78.55,90.67,86.54,89.06,82.13,99.66,99.61,91.55,85.95,98.82,98.64,99.33,99.22,92.5,90.45,88.33,81.23,99.66,99.61,90.67,87.8,98.49,98.25,90.67,84.17,90.67,84.27,89.06,82.4,100,100","SR 222 & blocked la street, alachua, Florida, USA,SR 222 & blocked la street, Florida, USA,SR 222 & la street, alachua, Florida, USA,SR 222 & la street, Florida, USA,SR 222 & st left lane, alachua, Florida, USA,SR 222 & st left lane, Florida, USA,SR 222 & 39th avenue, alachua, Florida, USA,SR 222 & 39th avenue, Florida, USA,SR 222 & w estate, alachua, Florida, USA,SR 222 & w estate, Florida, USA,SR 222 & nw 83 road, alachua, Florida, USA,SR 222 & nw 83 road, Florida, USA,SR 222 & 83rd street, alachua, Florida, USA,SR 222 & 83rd street, Florida, USA,SR 222 & le fort, alachua, Florida, USA,SR 222 & le fort, Florida, USA,SR 222 & ave we street, alachua, Florida, USA,SR 222 & ave we street, Florida, USA,SR 222 & nw 83rd street, alachua, Florida, USA,SR 222 & nw 83rd street, Florida, USA,SR 222 & st le fort, alachua, Florida, USA,SR 222 & st le fort, Florida, USA,SR 222 & 83 road, alachua, Florida, USA,SR 222 & 83 road, Florida, USA,SR 222 & we street, alachua, Florida, USA,SR 222 & we street, Florida, USA,SR 222 & left lane, alachua, Florida, USA,SR 222 & left lane, Florida, USA,SR 222 & ave w estate, alachua, Florida, USA,SR 222 & ave w estate, Florida, USA,SR 222 & nw 39th avenue, alachua, Florida, USA,SR 222 & nw 39th avenue, Florida, USA"
3,"-82.2498023676448,-84.27911999999998,-82.2498023676448,-81.63437418124894,-82.2498023676448,-82.72731029569856,-82.23903,-82.23903,-82.2498023676448,-80.25115999999997,-82.430253,-82.430253,-82.430253,-82.430253,-82.2498023676448,-81.35450999999995,-82.2498023676448,-82.72731029569856,-82.430253,-82.430253,-82.2498023676448,-81.35450999999995,-82.430253,-82.43025300000001,-82.2498023676448,-82.72731029569856,-82.2498023676448,-81.54712736510078,-82.2498023676448,-80.25115999999997,-82.372338,-82.372338","29.67963587284159,30.587300000000027,29.67963587284159,28.139782556442103,29.67963587284159,30.27025194841567,29.687886000000006,29.687886000000006,29.67963587284159,25.838430000000074,29.688759000000005,29.688759000000005,29.688759000000005,29.688759000000005,29.67963587284159,28.867770000000064,29.67963587284159,30.27025194841567,29.688759000000005,29.688759000000005,29.67963587284159,28.867770000000064,29.688759000000005,29.688758999999997,29.67963587284159,30.27025194841567,29.67963587284159,28.61540964586903,29.67963587284159,25.838430000000074,29.688642,29.688642","85.81,78.55,90.67,86.54,89.06,82.13,99.66,99.61,91.55,85.95,98.82,98.64,99.33,99.22,92.5,90.45,88.33,81.23,99.66,99.61,90.67,87.8,98.49,98.25,90.67,84.17,90.67,84.27,89.06,82.4,100,100","SR 222 & blocked la street, alachua, Florida, USA,SR 222 & blocked la street, Florida, USA,SR 222 & la street, alachua, Florida, USA,SR 222 & la street, Florida, USA,SR 222 & st left lane, alachua, Florida, USA,SR 222 & st left lane, Florida, USA,SR 222 & 39th avenue, alachua, Florida, USA,SR 222 & 39th avenue, Florida, USA,SR 222 & w estate, alachua, Florida, USA,SR 222 & w estate, Florida, USA,SR 222 & nw 83 road, alachua, Florida, USA,SR 222 & nw 83 road, Florida, USA,SR 222 & 83rd street, alachua, Florida, USA,SR 222 & 83rd street, Florida, USA,SR 222 & le fort, alachua, Florida, USA,SR 222 & le fort, Florida, USA,SR 222 & ave we street, alachua, Florida, USA,SR 222 & ave we street, Florida, USA,SR 222 & nw 83rd street, alachua, Florida, USA,SR 222 & nw 83rd street, Florida, USA,SR 222 & st le fort, alachua, Florida, USA,SR 222 & st le fort, Florida, USA,SR 222 & 83 road, alachua, Florida, USA,SR 222 & 83 road, Florida, USA,SR 222 & we street, alachua, Florida, USA,SR 222 & we street, Florida, USA,SR 222 & left lane, alachua, Florida, USA,SR 222 & left lane, Florida, USA,SR 222 & ave w estate, alachua, Florida, USA,SR 222 & ave w estate, Florida, USA,SR 222 & nw 39th avenue, alachua, Florida, USA,SR 222 & nw 39th avenue, Florida, USA"
4,"-84.27911999999998,-81.63437418124894,-81.719568,-81.719568,-81.7737525,-81.7737525,-81.719568,-81.719568","30.587300000000027,28.139782556442103,30.296322000000004,30.296322000000004,30.138075000000008,30.138075000000008,30.296322000000004,30.296322000000004","79.29,88.66,99.41,97.88,99.61,99.61,98.86,100","SR 21 & blocked la street, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & blanding boulevard, Florida, USA"
5,"-84.27911999999998,-81.63437418124894,-81.719568,-81.719568,-82.048221,-81.7737525,-82.540179,-81.7737525,-81.719568,-81.719568","30.587300000000027,28.139782556442103,30.296322000000004,30.296322000000004,29.77644600000001,30.138075000000008,27.355653000000007,30.138075000000008,30.296322000000004,30.296322000000004","79.29,88.66,99.41,97.88,96.19,99.61,95.98,99.61,98.86,100","SR 21 & blocked la street, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & 2 le fort, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & le fort, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & blanding boulevard, Florida, USA"
6,"-81.73918470430144,-82.046772,-81.7737525,-81.7737525,-81.73918470430144,-82.046772","30.1882177304149,29.725119000000007,30.138075000000008,30.138075000000008,30.1882177304149,29.725119000000007","90.85,95.92,99.61,99.61,92.64,95.43","SR 21 & on sr-21blanding boulevard, Florida, USA,SR 21 & sr-21b landing, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21blanding boulevard, Florida, USA,SR 21 & on sr-21b landing, Florida, USA"
7,"-84.27911999999998,-81.63437418124894,-81.719568,-81.719568,-82.048221,-81.7737525,-82.540179,-81.7737525,-81.719568,-81.719568","30.587300000000027,28.139782556442103,30.296322000000004,30.296322000000004,29.77644600000001,30.138075000000008,27.355653000000007,30.138075000000008,30.296322000000004,30.296322000000004","79.29,88.66,99.41,97.88,96.19,99.61,95.98,99.61,98.86,100","SR 21 & blocked la street, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & 2 le fort, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & le fort, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & blanding boulevard, Florida, USA"
8,"-81.36228999999997,-84.27911999999998,-81.63437418124894,-81.56052,-81.56052,-81.35450999999995,-81.09416302670999,-81.09416302670999","28.867770000000064,30.587300000000027,28.139782556442103,30.392991000000002,30.392991000000002,28.867770000000064,26.833696120770036,26.833696120770036","87.73,79.29,88.66,99.02,99.02,91.98,83.95,79.32","I-295 & point le fort, Florida, USA,I-295 & blocked la street, Florida, USA,I-295 & la street, Florida, USA,I-295 & dames point, Florida, USA,I-295 & at dames point, Florida, USA,I-295 & le fort, Florida, USA,I-295 & left lane, Florida, USA,I-295 & point left lane, Florida, USA"
9,"-84.27911999999998,-81.63437418124894,-82.47819999999996,-81.56052,-80.79011511527169,-81.56052,-82.47819999999996,-80.79011511527169","30.587300000000027,28.139782556442103,27.972300000000075,30.392991000000002,28.366153278550417,30.392991000000002,27.972300000000075,28.366153278550417","79.29,88.66,84.53,99.02,78.42,99.02,90.08,87.02","I-295 & blocked la street, Florida, USA,I-295 & la street, Florida, USA,I-295 & point rig heights, Florida, USA,I-295 & dames point, Florida, USA,I-295 & point right lane, Florida, USA,I-295 & at dames point, Florida, USA,I-295 & rig heights, Florida, USA,I-295 & right lane, Florida, USA"
