,x,y,match_scores,matched_addresses
0,None,None,None,None
1,"-80.20244880194872,-84.27911999999998,-80.20244880194872,-81.63437418124894,-80.2071315,-80.2071315,-80.20834227653631,-80.20834227653631,-80.20244880194872,-81.35450999999995,-80.20244880194872,-81.35450999999995,-80.20244880194872,-81.68864878999995,-80.20244880194872,-81.54712736510078,-80.2133665888982,-80.2071315,-80.20834227653631,-80.20834227653631","25.869411969155827,30.587300000000027,25.869411969155827,28.139782556442103,25.869293999999996,25.869293999999996,25.869203999999996,25.869203999999996,25.869411969155827,28.867770000000064,25.869411969155827,28.867770000000064,25.869411969155827,28.56604489500006,25.869411969155827,28.61540964586903,25.868955925600336,25.869293999999996,25.869203999999996,25.869203999999996","85,78.55,90,86.54,99.67,99.61,97.14,96.6,91.92,90.45,90,87.8,88.33,76,90,84.27,97.81,97.39,97.71,97.27","SR 932 & blocked la street, miami, Florida, USA,SR 932 & blocked la street, Florida, USA,SR 932 & la street, miami, Florida, USA,SR 932 & la street, Florida, USA,SR 932 & 103 street, miami, Florida, USA,SR 932 & 103 street, Florida, USA,SR 932 & on 95 expressway, miami, Florida, USA,SR 932 & on 95 expressway, Florida, USA,SR 932 & le fort, miami, Florida, USA,SR 932 & le fort, Florida, USA,SR 932 & st le fort, miami, Florida, USA,SR 932 & st le fort, Florida, USA,SR 932 & st left lane, miami, Florida, USA,SR 932 & st left lane, Florida, USA,SR 932 & left lane, miami, Florida, USA,SR 932 & left lane, Florida, USA,SR 932 & sr-932nw 103 street, miami, Florida, USA,SR 932 & sr-932nw 103 street, Florida, USA,SR 932 & 95 expressway, miami, Florida, USA,SR 932 & 95 expressway, Florida, USA"
2,None,None,None,None
3,"-81.321633,-81.382509,-81.32865999999996,-81.32865999999996","28.832724000000002,28.553058000000007,28.82585000000006,28.82585000000006","99.32,99.6,87.82,83.83","US 17 & I-4, seminole, Florida, USA,US 17 & I-4, Florida, USA,US 17, exit 104, seminole, Florida, USA,US 17, exit 104, Florida, USA"
4,"-81.66159,-81.66159,-81.5826285,-80.1170415,-81.83493,-81.6612705,-80.11844157341493,-80.1170415,-81.5917455,-80.054712,-81.83467575,-81.66159,-81.61192938402358,-80.1170415,-86.5548405,-86.5548405,-81.62805999999995,-81.62805999999995,-81.62805999999995,-80.60085,-81.62805999999995,-81.34868250000001,-81.61192938402358,-80.1170415,-81.83493,-81.6612705","29.553588000000005,29.553588000000005,28.5638580013275,26.167248,27.899397000000008,30.356279999999998,26.169177687409533,26.167248,28.551816000000002,26.798192999999998,27.897057000000004,29.553588000000005,28.55608689409064,26.167248,30.765663,30.765663,28.557100000000048,28.557100000000048,28.557100000000048,28.071387,28.557100000000048,29.91951,28.55608689409064,26.167248,27.899397000000008,30.356279999999998","90.63,92.68,69.83,77.99,93.75,96.42,86.73,88.78,97.68,99.01,87.24,91.97,97.28,99.22,93.71,96.05,89.09,86.15,84.29,84.97,95.56,97.46,92.86,98.64,94.19,97.01","US 1 & browa road, oakland, Florida, USA,US 1 & browa road, Florida, USA,US 1 & blocked la street, oakland, Florida, USA,US 1 & la street, oakland, Florida, USA,US 1 & blvd left lane, oakland, Florida, USA,US 1 & blvd left lane, Florida, USA,US 1 & before oakland park, oakland, Florida, USA,US 1 & before oakland park, Florida, USA,US 1 & park boulevard, oakland, Florida, USA,US 1 & park boulevard, Florida, USA,US 1 & in browa road, oakland, Florida, USA,US 1 & in browa road, Florida, USA,US 1 & oakland park boulevard, oakland, Florida, USA,US 1 & oakland park boulevard, Florida, USA,US 1 & le fort, oakland, Florida, USA,US 1 & le fort, Florida, USA,US 1 & before oak land, oakland, Florida, USA,US 1 & before oak land, Florida, USA,US 1 & left lane, oakland, Florida, USA,US 1 & left lane, Florida, USA,US 1 & oak land, oakland, Florida, USA,US 1 & oak land, Florida, USA,US 1 & oakland park, oakland, Florida, USA,US 1 & oakland park, Florida, USA,US 1 & blvd le fort, oakland, Florida, USA,US 1 & blvd le fort, Florida, USA"
5,None,None,None,None
6,None,None,None,None
7,"-80.2044135,-80.6620803102513,-80.30500999999998,-80.30500999999998","25.789104000000002,28.35076710449586,25.694070000000067,25.694070000000067","93.84,98.24,72.98,69.83","I-95 & SR 836, miami, Florida, USA,I-95 & SR 836, Florida, USA,I-95, exit 3a, miami, Florida, USA,I-95, exit 3a, Florida, USA"
8,"-80.2044135,-80.6620803102513,-80.30500999999998,-80.30500999999998","25.789104000000002,28.35076710449586,25.694070000000067,25.694070000000067","93.84,98.24,72.98,69.83","I-95 & SR 836, miami, Florida, USA,I-95 & SR 836, Florida, USA,I-95, exit 3a, miami, Florida, USA,I-95, exit 3a, Florida, USA"
9,"-84.27911999999998,-81.63437418124894,-81.719568,-81.719568,-81.7737525,-81.7737525,-81.719568,-81.719568","30.587300000000027,28.139782556442103,30.296322000000004,30.296322000000004,30.138075000000008,30.138075000000008,30.296322000000004,30.296322000000004","79.29,88.66,99.41,97.88,99.61,99.61,98.86,100","SR 21 & blocked la street, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & blanding boulevard, Florida, USA"
10,"-80.32203,-80.32203","25.840602000000004,25.840602000000004","99.34,99.22","SR 826 & SR 934, miami, Florida, USA,SR 826 & SR 934, Florida, USA"
11,"-84.27911999999998,-81.63437418124894,-81.719568,-81.719568,-82.048221,-81.7737525,-82.540179,-81.7737525,-81.719568,-81.719568","30.587300000000027,28.139782556442103,30.296322000000004,30.296322000000004,29.77644600000001,30.138075000000008,27.355653000000007,30.138075000000008,30.296322000000004,30.296322000000004","79.29,88.66,99.41,97.88,96.19,99.61,95.98,99.61,98.86,100","SR 21 & blocked la street, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & 2 le fort, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & le fort, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & blanding boulevard, Florida, USA"
12,"-81.73918470430144,-82.046772,-81.7737525,-81.7737525,-81.73918470430144,-82.046772","30.1882177304149,29.725119000000007,30.138075000000008,30.138075000000008,30.1882177304149,29.725119000000007","90.85,95.92,99.61,99.61,92.64,95.43","SR 21 & on sr-21blanding boulevard, Florida, USA,SR 21 & sr-21b landing, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21blanding boulevard, Florida, USA,SR 21 & on sr-21b landing, Florida, USA"
13,"-84.27911999999998,-81.63437418124894,-81.719568,-81.719568,-82.048221,-81.7737525,-82.540179,-81.7737525,-81.719568,-81.719568","30.587300000000027,28.139782556442103,30.296322000000004,30.296322000000004,29.77644600000001,30.138075000000008,27.355653000000007,30.138075000000008,30.296322000000004,30.296322000000004","79.29,88.66,99.41,97.88,96.19,99.61,95.98,99.61,98.86,100","SR 21 & blocked la street, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & 2 le fort, Florida, USA,SR 21 & college drive, Florida, USA,SR 21 & le fort, Florida, USA,SR 21 & at college drive, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & blanding boulevard, Florida, USA"
14,-82.26112189979234,26.90036535968617,88.42,"I-4, mile marker 76, Florida, USA"
15,-82.26112189979234,26.90036535968617,88.42,"I-4, mile marker 76, Florida, USA"
16,-82.26112189979234,26.90036535968617,88.42,"I-4, mile marker 76, Florida, USA"
17,"-80.70584851995565,-80.70605999999998,-82.25987841618097","28.120563,28.124640000000056,26.894937456575605","99.6,81.58,92.63","SR 518 & I-95, Florida, USA,SR 518, exit 183, Florida, USA,SR 518, mile marker 182, Florida, USA"
18,"-81.36228999999997,-84.27911999999998,-81.63437418124894,-81.56052,-81.56052,-81.35450999999995,-81.09416302670999,-81.09416302670999","28.867770000000064,30.587300000000027,28.139782556442103,30.392991000000002,30.392991000000002,28.867770000000064,26.833696120770036,26.833696120770036","87.73,79.29,88.66,99.02,99.02,91.98,83.95,79.32","I-295 & point le fort, Florida, USA,I-295 & blocked la street, Florida, USA,I-295 & la street, Florida, USA,I-295 & dames point, Florida, USA,I-295 & at dames point, Florida, USA,I-295 & le fort, Florida, USA,I-295 & left lane, Florida, USA,I-295 & point left lane, Florida, USA"
19,"-80.2087785,-81.65379150000001","25.750179000000003,30.31407","99.34,99.6","I-95 & US 1, miami, Florida, USA,I-95 & US 1, Florida, USA"
20,None,None,None,None
21,None,None,None,None
22,"-80.2087785,-81.65379150000001","25.750179000000003,30.31407","99.34,99.6","I-95 & US 1, miami, Florida, USA,I-95 & US 1, Florida, USA"
