,Other_Road_List
58,"w estate,i-10 w estate,we street,i-10 we street,le fort,95 le fort,left lane,95 left lane,la street,blocked la street"
59,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,rig heights,174 rig heights,right lane,174 right lane,la street,blocked la street"
60,"bayfront parkway,at bayfront parkway,pk way,bayfront pk way,rig heights,pkwy rig heights,right lane,pkwy right lane,la street,blocked la street"
61,"ea street,i-10 ea street,rig heights,122 rig heights,right lane,122 right lane,la street,blocked la street"
62,"ea street,i-10 ea street,rig heights,122 rig heights,right lane,122 right lane,la street,blocked la street"
63,"obje court,updated: obje court,road way,on road way,ea street,i-10 ea street,le fort,68 le fort,left lane,68 left lane,la street,blocked la street"
64,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,le fort,68 le fort,left lane,68 left lane,la street,blocked la street"
65,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,rig heights,107 rig heights,right lane,107 right lane,la street,blocked la street"
66,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
67,"w estate,i-10 w estate,we street,i-10 we street,scenic highway,17 scenic highway,h way,scenic h way,rig heights,2 rig heights,la street,blocked la street"
68,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
69,"rig heights,3 rig heights,right lane,3 right lane,la street,blocked la street"
70,"ea street,i-10 ea street,le fort,79 le fort,left lane,79 left lane,la street,blocked la street"
71,"w estate,i-10 w estate,we street,i-10 we street,le fort,79 le fort,left lane,79 left lane,la street,blocked la street"
72,"obje court,new: obje court,road way,on road way,w estate,i-10 w estate,we street,i-10 we street,le fort,120 le fort,left lane,120 left lane,la street,blocked la street"
73,"ea street,i-10 ea street,rig heights,202 rig heights,right lane,202 right lane,la street,blocked la street"
74,"ea street,i-10 ea street,dav island,13 dav island,da vista,13 da vista,davis highway,13 davis highway,h way,davis h way,le fort,hwy le fort,left lane,hwy left lane,la street,blocked la street"
75,"north ramp,i-110 north ramp,off- ramp,10 off- ramp,la street,closed la street"
76,"w estate,i-10 w estate,we street,i-10 we street,le fort,71 le fort,left lane,71 left lane,la street,blocked la street"
77,"w estate,i-10 w estate,we street,i-10 we street,le fort,71 le fort,left lane,71 left lane,la street,blocked la street"
78,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
79,"north ramp,i-110 north ramp,off- ramp,10 off- ramp,rig heights,off-ramp rig heights,right lane,off-ramp right lane"
80,"ea street,i-10 ea street,rig heights,183 rig heights,right lane,183 right lane,la street,blocked la street"
81,"ea street,i-10 ea street,rig heights,183 rig heights,right lane,183 right lane,la street,blocked la street"
82,"obje court,updated: obje court,road way,on road way,ea street,i-10 ea street,le fort,166 le fort,left lane,166 left lane,la street,blocked la street"
83,"obje court,new: obje court,road way,on road way,ea street,i-10 ea street,le fort,166 le fort,left lane,166 left lane,la street,blocked la street"
84,"rig heights,3 rig heights,right lane,3 right lane,la street,blocked la street"
85,"rig heights,3 rig heights,right lane,3 right lane,la street,blocked la street"
86,"rig heights,4 rig heights,right lane,4 right lane,la street,blocked la street"
87,"rig heights,4 rig heights,right lane,4 right lane,la street,blocked la street"
88,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
89,"ea street,i-10 ea street,avalon boulevard,before avalon boulevard,rig heights,blvd rig heights,right lane,blvd right lane,la street,blocked la street"
90,"ea street,i-10 ea street,rig heights,151 rig heights,right lane,151 right lane,la street,blocked la street"
91,"w estate,i-10 w estate,we street,i-10 we street,rig heights,47 rig heights,right lane,47 right lane,la street,blocked la street"
92,"jacob road,cr-162 jacob road,le fort,rd le fort,la street,blocked la street"
93,"ea street,i-10 ea street,rig heights,200 rig heights,right lane,200 right lane,la street,blocked la street"
94,"ea street,i-10 ea street,le fort,200 le fort,left lane,200 left lane,la street,blocked la street"
95,"w estate,i-10 w estate,we street,i-10 we street,rig heights,sr-61 rig heights,right lane,sr-61 right lane,la street,blocked la street"
96,"w estate,i-10 w estate,we street,i-10 we street,rig heights,201 rig heights,right lane,201 right lane,la street,blocked la street"
97,"w estate,i-10 w estate,we street,i-10 we street,rig heights,us-27 rig heights,right lane,us-27 right lane,la street,blocked la street"
98,"w estate,i-10 w estate,we street,i-10 we street,scenic highway,17 scenic highway,h way,scenic h way,le fort,hwy le fort,left lane,hwy left lane,la street,blocked la street"
99,"w estate,i-10 w estate,we street,i-10 we street,bay bridge,escambia bay bridge,le fort,brg le fort,left lane,brg left lane,la street,blocked la street"
100,"ea street,i-10 ea street,rig heights,52 rig heights,right lane,52 right lane,la street,blocked la street"
