,x,y,match_scores,matched_addresses
0,"-81.382509,-81.37852999999996","28.553058000000007,28.562320000000057","99.6,81.35","SR 50 & I-4, Florida, USA,SR 50, exit 84, Florida, USA"
1,"-80.19772999999998,-84.27911999999998,-80.169588,-81.63437418124894,-80.3211615,-80.3211615,-80.2043325,-80.2043325,-80.169588,-81.35450999999995,-80.3211615,-80.3211615","25.77481000000006,30.587300000000027,25.925616000000005,28.139782556442103,25.809246,25.809246,25.92772200000001,25.92772200000001,25.925616000000005,28.867770000000064,25.809246,25.809246","80,78.55,84.87,86.54,99.67,99.61,96.66,95.95,87.59,90.45,99.35,99.22","SR 826 & blocked la street, miami, Florida, USA,SR 826 & blocked la street, Florida, USA,SR 826 & la street, miami, Florida, USA,SR 826 & la street, Florida, USA,SR 826 & nw 36 street, miami, Florida, USA,SR 826 & nw 36 street, Florida, USA,SR 826 & 2 le fort, miami, Florida, USA,SR 826 & 2 le fort, Florida, USA,SR 826 & le fort, miami, Florida, USA,SR 826 & le fort, Florida, USA,SR 826 & 36 street, miami, Florida, USA,SR 826 & 36 street, Florida, USA"
2,-82.38771999999994,27.707610000000045,95.54,"I-75, exit 240, Florida, USA"
3,-81.99151999999998,27.997990000000073,80.84,"I-595, exit 4, Florida, USA"
4,-81.99151999999998,27.997990000000073,70.6,"I-4, exit 81a, Florida, USA"
5,"-80.20351420493417,-84.27911999999998,-80.20351420493417,-80.79011511527169,-80.20351420493417,-81.63437418124894,-80.28853372519838,-80.291952,-80.20351420493417,-82.47819999999996,-80.20351420493417,-81.63437418124894,-80.291952,-80.291952,-80.20351420493417,-82.47819999999996,-80.20351420493417,-80.79011511527169,-80.1984195,-80.19438299999999","25.884028437131715,30.587300000000027,25.884028437131715,28.366153278550417,25.884028437131715,28.139782556442103,25.784676517676854,25.896393000000003,25.884028437131715,27.972300000000075,25.884028437131715,28.139782556442103,25.896393000000003,25.896393000000003,25.884028437131715,27.972300000000075,25.884028437131715,28.366153278550417,25.884279000000006,25.88445900000001","85,78.55,86.88,79.88,90,86.54,94.17,99.61,88.33,88.79,90,81.36,91.12,99.22,86.21,85.48,89.14,85.01,97.58,97.14","SR 924 & blocked la street, miami, Florida, USA,SR 924 & blocked la street, Florida, USA,SR 924 & ave right lane, miami, Florida, USA,SR 924 & ave right lane, Florida, USA,SR 924 & la street, miami, Florida, USA,SR 924 & la street, Florida, USA,SR 924 & nw 57 avenue, miami, Florida, USA,SR 924 & nw 57 avenue, Florida, USA,SR 924 & rig heights, miami, Florida, USA,SR 924 & rig heights, Florida, USA,SR 924 & ea street, miami, Florida, USA,SR 924 & ea street, Florida, USA,SR 924 & 57 avenue, miami, Florida, USA,SR 924 & 57 avenue, Florida, USA,SR 924 & ave rig heights, miami, Florida, USA,SR 924 & ave rig heights, Florida, USA,SR 924 & right lane, miami, Florida, USA,SR 924 & right lane, Florida, USA,SR 924 & sr-924 ea street, miami, Florida, USA,SR 924 & sr-924 ea street, Florida, USA"
6,None,None,None,None
7,None,None,None,None
8,"-80.3205225,-80.3205225","25.780581,25.780581","93.84,92.63","SR 836 & SR 826, miami, Florida, USA,SR 836 & SR 826, Florida, USA"
9,-81.64937250000001,30.45941099999999,99.22,"I-295 & I-95, Florida, USA"
