,x,y,match_scores,matched_addresses
0,"-82.222452,-82.3391415,-84.27911999999998,-82.222452,-82.3391415,-81.404541","29.45014156305757,29.670345021220715,30.587300000000027,29.45014156305757,29.670345021220715,28.435995","84.36,85.81,78.55,89.04,90.67,85.48","US 441 & blocked la street, micanopy, Florida, USA,US 441 & blocked la street, alachua, Florida, USA,US 441 & blocked la street, Florida, USA,US 441 & la street, micanopy, Florida, USA,US 441 & la street, alachua, Florida, USA,US 441 & la street, Florida, USA"
1,"-82.222452,-82.3391415,-84.27911999999998,-82.222452,-82.3391415,-81.404541","29.45014156305757,29.670345021220715,30.587300000000027,29.45014156305757,29.670345021220715,28.435995","84.36,85.81,78.55,89.04,90.67,85.48","US 441 & blocked la street, micanopy, Florida, USA,US 441 & blocked la street, alachua, Florida, USA,US 441 & blocked la street, Florida, USA,US 441 & la street, micanopy, Florida, USA,US 441 & la street, alachua, Florida, USA,US 441 & la street, Florida, USA"
2,"-80.19772999999998,-80.40532790096525,-80.19772999999998,-81.63437418124894,-80.19772999999998,-81.7009155,-80.2442205,-81.58738956349733,-80.19772999999998,-80.41755956647565,-80.25115999999997,-80.25115999999997,-80.26398936960985,-80.26398936960985,-80.26308599121403,-80.26398936960985,-80.25056971717929,-85.60789174360855,-80.19772999999998,-80.40532790096525,-80.19772999999998,-81.63437418124894,-80.41755956647565,-81.50962401024375","25.77481000000006,25.783533077497022,25.77481000000006,28.139782556442103,25.77481000000006,30.373938000000003,25.84828568263157,30.28772391932393,25.77481000000006,25.776507659312323,25.838430000000074,25.838430000000074,25.785143870636556,25.785143870636556,25.75925532867359,25.785143870636556,25.899503565064485,30.13177452844941,25.77481000000006,25.783533077497022,25.77481000000006,28.139782556442103,25.776507659312323,27.590209722221115","82.22,80.59,81.43,86.54,80,77.4,87.34,84.48,80,76.21,86.49,85.95,93.18,91.85,94.35,92.7,88.43,88.11,80,75.93,81.43,81.36,82.01,81.81","SR 836 & off- ramp, miami, Florida, USA,SR 836 & off- ramp, Florida, USA,SR 836 & la street, miami, Florida, USA,SR 836 & la street, Florida, USA,SR 836 & closed la street, miami, Florida, USA,SR 836 & closed la street, Florida, USA,SR 836 & west ramp, miami, Florida, USA,SR 836 & west ramp, Florida, USA,SR 836 & sr-836 we street, miami, Florida, USA,SR 836 & sr-836 we street, Florida, USA,SR 836 & w estate, miami, Florida, USA,SR 836 & w estate, Florida, USA,SR 836 & jeune road, miami, Florida, USA,SR 836 & jeune road, Florida, USA,SR 836 & le jeune road, miami, Florida, USA,SR 836 & le jeune road, Florida, USA,SR 836 & sr-836 west ramp, miami, Florida, USA,SR 836 & sr-836 west ramp, Florida, USA,SR 836 & south off- ramp, miami, Florida, USA,SR 836 & south off- ramp, Florida, USA,SR 836 & we street, miami, Florida, USA,SR 836 & we street, Florida, USA,SR 836 & sr-836 w estate, miami, Florida, USA,SR 836 & sr-836 w estate, Florida, USA"
3,"-74.21516895680448,-74.21516895680448,-82.47819999999996,-84.8685735,-84.460878,-84.8685735","42.88395503083169,42.88395503083169,27.972300000000075,29.742525000000004,29.93004,29.742525000000004","81.9,87.27,90.08,95.43,88.6,95.68","SR 30 & blocked la street, Florida, USA,SR 30 & la street, Florida, USA,SR 30 & rig heights, Florida, USA,SR 30 & 3 rig heights, Florida, USA,SR 30 & right lane, Florida, USA,SR 30 & 3 right lane, Florida, USA"
4,"-80.7428115,-82.41453999999999,-82.25841158381903","28.2924,27.142880000000048,26.8948745323159","99.22,81.84,92.63","SR 519 & I-95, Florida, USA,SR 519, exit 195, Florida, USA,SR 519, mile marker 193, Florida, USA"
5,"-82.253259,-82.253259","26.89491748600597,26.89491748600597","81.57,87.66","I-10, mile marker 236, madison, Florida, USA,I-10, mile marker 236, Florida, USA"
6,"-80.20244880194872,-84.27911999999998,-80.20244880194872,-81.63437418124894,-80.2071315,-80.2071315,-80.20834227653631,-80.20834227653631,-80.20244880194872,-81.35450999999995,-80.20244880194872,-81.35450999999995,-80.20244880194872,-81.68864878999995,-80.20244880194872,-81.54712736510078,-80.2133665888982,-80.2071315,-80.20834227653631,-80.20834227653631","25.869411969155827,30.587300000000027,25.869411969155827,28.139782556442103,25.869293999999996,25.869293999999996,25.869203999999996,25.869203999999996,25.869411969155827,28.867770000000064,25.869411969155827,28.867770000000064,25.869411969155827,28.56604489500006,25.869411969155827,28.61540964586903,25.868955925600336,25.869293999999996,25.869203999999996,25.869203999999996","85,78.55,90,86.54,99.67,99.61,97.14,96.6,91.92,90.45,90,87.8,88.33,76,90,84.27,97.81,97.39,97.71,97.27","SR 932 & blocked la street, miami, Florida, USA,SR 932 & blocked la street, Florida, USA,SR 932 & la street, miami, Florida, USA,SR 932 & la street, Florida, USA,SR 932 & 103 street, miami, Florida, USA,SR 932 & 103 street, Florida, USA,SR 932 & on 95 expressway, miami, Florida, USA,SR 932 & on 95 expressway, Florida, USA,SR 932 & le fort, miami, Florida, USA,SR 932 & le fort, Florida, USA,SR 932 & st le fort, miami, Florida, USA,SR 932 & st le fort, Florida, USA,SR 932 & st left lane, miami, Florida, USA,SR 932 & st left lane, Florida, USA,SR 932 & left lane, miami, Florida, USA,SR 932 & left lane, Florida, USA,SR 932 & sr-932nw 103 street, miami, Florida, USA,SR 932 & sr-932nw 103 street, Florida, USA,SR 932 & 95 expressway, miami, Florida, USA,SR 932 & 95 expressway, Florida, USA"
7,"-82.253259,-82.253259","26.89491748600597,26.89491748600597","81.57,87.66","I-10, mile marker 236, madison, Florida, USA,I-10, mile marker 236, Florida, USA"
8,-81.65379150000001,30.31407,99.6,"US 90 & I-95, Florida, USA"
9,"-82.6370505,-80.14785999999998,-80.206479,-80.206479,-81.30506765205747,-81.404541,-84.27911999999998,-81.397071,-80.206479,-80.631621,-82.63723949999999,-80.206479,-66.56016322599999,-82.63723949999999","30.183912,25.981580000000065,25.984413000000004,25.984413000000004,29.047228637626944,28.435995,30.587300000000027,28.525518000000005,25.984413000000004,26.861337000000006,30.194073000000003,25.984413000000004,18.37342545100006,30.194073000000003","92.75,85.79,99.61,93.18,80.19,85.48,78.55,95.96,90.77,98.63,97.14,99.02,80.87,89.37","US 441 & browa road, Florida, USA,US 441 & beyond hallan dale, Florida, USA,US 441 & hallandale beach boulevard, Florida, USA,US 441 & hallan dale, Florida, USA,US 441 & blvd left lane, Florida, USA,US 441 & la street, Florida, USA,US 441 & blocked la street, Florida, USA,US 441 & in browa road, Florida, USA,US 441 & beyond hallandale beach, Florida, USA,US 441 & beach boulevard, Florida, USA,US 441 & le fort, Florida, USA,US 441 & hallandale beach, Florida, USA,US 441 & left lane, Florida, USA,US 441 & blvd le fort, Florida, USA"
