,x,y,match_scores,matched_addresses
0,-77.34390999999994,38.54952000000003,76.59,"I-95, exit 160a, South Carolina, USA"
1,-79.79590999999994,34.23314000000005,87.21,"I-95, exit 164, South Carolina, USA"
2,-79.79590999999994,34.23314000000005,87.21,"I-95, exit 164, South Carolina, USA"
3,-79.79590999999994,34.23314000000005,87.21,"I-95, exit 164, South Carolina, USA"
4,-81.05863999999997,33.92982000000006,87.39,"I-26, exit 1, South Carolina, USA"
5,-79.81724999999994,35.59454000000005,80.68,"I-85, exit 66, South Carolina, USA"
6,-79.81724999999994,35.59454000000005,80.68,"I-85, exit 66, South Carolina, USA"
7,-79.78213999999997,35.45487000000003,87.03,"I-85, exit 56, South Carolina, USA"
8,-79.78213999999997,35.45487000000003,87.03,"I-85, exit 56, South Carolina, USA"
9,-82.21826999999996,34.87475000000006,92.36,"I-85, exit 57, South Carolina, USA"
10,-82.21826999999996,34.87475000000006,92.36,"I-85, exit 57, South Carolina, USA"
11,-82.21826999999996,34.87475000000006,92.36,"I-85, exit 57, South Carolina, USA"
12,-82.21826999999996,34.87475000000006,92.36,"I-85, exit 57, South Carolina, USA"
13,-82.70769999999999,34.57376000000005,85.96,"I-85, exit 19b, South Carolina, USA"
14,-81.83584999999994,35.03635000000003,93.83,"I-85, exit 82, South Carolina, USA"
15,-80.75403999999997,34.140040000000056,84.17,"I-85, exit 87, South Carolina, USA"
16,-80.75403999999997,34.140040000000056,84.17,"I-85, exit 87, South Carolina, USA"
17,"-80.02702999999997,-82.57059999999996","32.87298000000004,35.706470000000024","84.21,84.75","I-385, exit 16, South Carolina, USA,I-385, exit 19, South Carolina, USA"
18,"-80.98405199999999,-80.986599","34.975413,34.973631","100,99.6","US 21 & SC 161, South Carolina, USA,US 21 & I-77, South Carolina, USA"
19,-80.75403999999997,34.140040000000056,84.17,"I-85, exit 87, South Carolina, USA"
20,"-82.303308,-82.2937815,-82.303308,-82.28966999999994,-82.28966999999994,-82.28966999999994,-82.28966999999994,-82.28966999999994,-82.28966999999994","34.82920799999999,34.824582,34.82920799999999,34.83771000000007,34.83771000000007,34.83771000000007,34.83771000000007,34.83771000000007,34.83771000000007","99.67,98.47,99.6,89.45,74.71,86.16,75.05,63.67,69.06","SC 146 & I-85, greenville, South Carolina, USA,SC 146 & I-85, woodruff, South Carolina, USA,SC 146 & I-85, South Carolina, USA,SC 146, exit 54, greenville, South Carolina, USA,SC 146, exit 54, woodruff, South Carolina, USA,SC 146, exit 54, South Carolina, USA,SC 146, exit 51a-sc146-woodruff, greenville, South Carolina, USA,SC 146, exit 51a-sc146-woodruff, woodruff, South Carolina, USA,SC 146, exit 51a-sc146-woodruff, South Carolina, USA"
