,road,abbrevs
28,US 12,"us 12,us-12,us12,u.s. 12,u.s.-12,u.s.12,us route 12,us route-12,us route12,u.s. route 12,u.s. route-12,u.s. route12,us rte 12,us rte-12,us rte12,u.s. rte 12,u.s. rte-12,u.s. rte12,us-route 12,us-route-12,us-route12,u.s.-route 12,u.s.-route-12,u.s.-route12,us-rte 12,us-rte-12,us-rte12,u.s.-rte 12,u.s.-rte-12,u.s.-rte12"
29,US 13,"us 13,us-13,us13,u.s. 13,u.s.-13,u.s.13,us route 13,us route-13,us route13,u.s. route 13,u.s. route-13,u.s. route13,us rte 13,us rte-13,us rte13,u.s. rte 13,u.s. rte-13,u.s. rte13,us-route 13,us-route-13,us-route13,u.s.-route 13,u.s.-route-13,u.s.-route13,us-rte 13,us-rte-13,us-rte13,u.s.-rte 13,u.s.-rte-13,u.s.-rte13"
30,US 14,"us 14,us-14,us14,u.s. 14,u.s.-14,u.s.14,us route 14,us route-14,us route14,u.s. route 14,u.s. route-14,u.s. route14,us rte 14,us rte-14,us rte14,u.s. rte 14,u.s. rte-14,u.s. rte14,us-route 14,us-route-14,us-route14,u.s.-route 14,u.s.-route-14,u.s.-route14,us-rte 14,us-rte-14,us-rte14,u.s.-rte 14,u.s.-rte-14,u.s.-rte14"
31,US 15,"us 15,us-15,us15,u.s. 15,u.s.-15,u.s.15,us route 15,us route-15,us route15,u.s. route 15,u.s. route-15,u.s. route15,us rte 15,us rte-15,us rte15,u.s. rte 15,u.s. rte-15,u.s. rte15,us-route 15,us-route-15,us-route15,u.s.-route 15,u.s.-route-15,u.s.-route15,us-rte 15,us-rte-15,us-rte15,u.s.-rte 15,u.s.-rte-15,u.s.-rte15"
32,US 16,"us 16,us-16,us16,u.s. 16,u.s.-16,u.s.16,us route 16,us route-16,us route16,u.s. route 16,u.s. route-16,u.s. route16,us rte 16,us rte-16,us rte16,u.s. rte 16,u.s. rte-16,u.s. rte16,us-route 16,us-route-16,us-route16,u.s.-route 16,u.s.-route-16,u.s.-route16,us-rte 16,us-rte-16,us-rte16,u.s.-rte 16,u.s.-rte-16,u.s.-rte16"
33,US 17,"us 17,us-17,us17,u.s. 17,u.s.-17,u.s.17,us route 17,us route-17,us route17,u.s. route 17,u.s. route-17,u.s. route17,us rte 17,us rte-17,us rte17,u.s. rte 17,u.s. rte-17,u.s. rte17,us-route 17,us-route-17,us-route17,u.s.-route 17,u.s.-route-17,u.s.-route17,us-rte 17,us-rte-17,us-rte17,u.s.-rte 17,u.s.-rte-17,u.s.-rte17"
34,US 18,"us 18,us-18,us18,u.s. 18,u.s.-18,u.s.18,us route 18,us route-18,us route18,u.s. route 18,u.s. route-18,u.s. route18,us rte 18,us rte-18,us rte18,u.s. rte 18,u.s. rte-18,u.s. rte18,us-route 18,us-route-18,us-route18,u.s.-route 18,u.s.-route-18,u.s.-route18,us-rte 18,us-rte-18,us-rte18,u.s.-rte 18,u.s.-rte-18,u.s.-rte18"
35,US 19,"us 19,us-19,us19,u.s. 19,u.s.-19,u.s.19,us route 19,us route-19,us route19,u.s. route 19,u.s. route-19,u.s. route19,us rte 19,us rte-19,us rte19,u.s. rte 19,u.s. rte-19,u.s. rte19,us-route 19,us-route-19,us-route19,u.s.-route 19,u.s.-route-19,u.s.-route19,us-rte 19,us-rte-19,us-rte19,u.s.-rte 19,u.s.-rte-19,u.s.-rte19"
36,US 20,"us 20,us-20,us20,u.s. 20,u.s.-20,u.s.20,us route 20,us route-20,us route20,u.s. route 20,u.s. route-20,u.s. route20,us rte 20,us rte-20,us rte20,u.s. rte 20,u.s. rte-20,u.s. rte20,us-route 20,us-route-20,us-route20,u.s.-route 20,u.s.-route-20,u.s.-route20,us-rte 20,us-rte-20,us-rte20,u.s.-rte 20,u.s.-rte-20,u.s.-rte20"
37,US 21,"us 21,us-21,us21,u.s. 21,u.s.-21,u.s.21,us route 21,us route-21,us route21,u.s. route 21,u.s. route-21,u.s. route21,us rte 21,us rte-21,us rte21,u.s. rte 21,u.s. rte-21,u.s. rte21,us-route 21,us-route-21,us-route21,u.s.-route 21,u.s.-route-21,u.s.-route21,us-rte 21,us-rte-21,us-rte21,u.s.-rte 21,u.s.-rte-21,u.s.-rte21"
38,US 22,"us 22,us-22,us22,u.s. 22,u.s.-22,u.s.22,us route 22,us route-22,us route22,u.s. route 22,u.s. route-22,u.s. route22,us rte 22,us rte-22,us rte22,u.s. rte 22,u.s. rte-22,u.s. rte22,us-route 22,us-route-22,us-route22,u.s.-route 22,u.s.-route-22,u.s.-route22,us-rte 22,us-rte-22,us-rte22,u.s.-rte 22,u.s.-rte-22,u.s.-rte22"
39,US 23,"us 23,us-23,us23,u.s. 23,u.s.-23,u.s.23,us route 23,us route-23,us route23,u.s. route 23,u.s. route-23,u.s. route23,us rte 23,us rte-23,us rte23,u.s. rte 23,u.s. rte-23,u.s. rte23,us-route 23,us-route-23,us-route23,u.s.-route 23,u.s.-route-23,u.s.-route23,us-rte 23,us-rte-23,us-rte23,u.s.-rte 23,u.s.-rte-23,u.s.-rte23"
40,US 24,"us 24,us-24,us24,u.s. 24,u.s.-24,u.s.24,us route 24,us route-24,us route24,u.s. route 24,u.s. route-24,u.s. route24,us rte 24,us rte-24,us rte24,u.s. rte 24,u.s. rte-24,u.s. rte24,us-route 24,us-route-24,us-route24,u.s.-route 24,u.s.-route-24,u.s.-route24,us-rte 24,us-rte-24,us-rte24,u.s.-rte 24,u.s.-rte-24,u.s.-rte24"
