,x,y,match_scores,matched_addresses
0,-78.6727215,35.83407600000001,98.7,"US 1 & US 7, North Carolina, USA"
1,None,None,None,None
2,None,None,None,None
3,None,None,None,None
4,None,None,None,None
5,None,None,None,None
6,None,None,None,None
7,None,None,None,None
8,None,None,None,None
9,"-78.24275341426979,-82.68068999999997,-78.20027999999996,-78.20027999999996,-78.20027999999996,-79.76769869150937,-78.6594748736356,-79.76769869150937,-78.65511622999998,-78.03004646470819,-78.65511622999998,-78.24275341426979,-78.20027999999996,-78.20027999999996,-78.24275341426979,-79.76769869150937","34.35499275891863,35.66580000000005,34.35184000000004,34.35184000000004,34.35184000000004,36.52791252955973,34.215970986146075,36.52791252955973,34.26551406800007,33.959264594144315,34.26551406800007,34.35499275891863,34.35184000000004,34.35184000000004,34.35499275891863,36.52791252955973","93.82,92.31,92.84,93.67,85.97,88.26,91.73,94.64,90,91.09,91.67,94.75,92.5,93.14,90.13,94.64","NC 87 & b ridge, columbus, North Carolina, USA,NC 87 & b ridge, North Carolina, USA,NC 87 & the livingston creek, columbus, North Carolina, USA,NC 87 & the livingston creek, North Carolina, USA,NC 87 & livingston creek bridge, columbus, North Carolina, USA,NC 87 & livingston creek bridge, North Carolina, USA,NC 87 & creek bridge, columbus, North Carolina, USA,NC 87 & creek bridge, North Carolina, USA,NC 87 & county island, columbus, North Carolina, USA,NC 87 & county island, North Carolina, USA,NC 87 & columbus county island, columbus, North Carolina, USA,NC 87 & columbus county island, North Carolina, USA,NC 87 & livingston creek, columbus, North Carolina, USA,NC 87 & livingston creek, North Carolina, USA,NC 87 & creek b ridge, columbus, North Carolina, USA,NC 87 & creek b ridge, North Carolina, USA"
10,None,None,None,None
11,None,None,None,None
12,None,None,None,None
13,None,None,None,None
14,None,None,None,None
15,None,None,None,None
16,None,None,None,None
17,"-78.61146937161729,-78.398181,-78.61146937161729,-78.27840868907958,-78.61146937161729,-78.27840868907958,-78.61146937161729,-78.98113999999998,-78.61146937161729,-78.398181","34.6190758701149,34.78210200000001,34.6190758701149,35.62695211806584,34.6190758701149,35.62695211806584,34.6190758701149,35.07266000000004,34.6190758701149,34.78210200000001","96.11,98.63,88.33,80.66,91.44,84.73,88.8,81.61,95.23,90.84","US 701 & bladen lakes, elizabethtown, North Carolina, USA,US 701 & bladen lakes, North Carolina, USA,US 701 & school shel terrace, elizabethtown, North Carolina, USA,US 701 & school shel terrace, North Carolina, USA,US 701 & shel terrace, elizabethtown, North Carolina, USA,US 701 & shel terrace, North Carolina, USA,US 701 & lakes shel terrace, elizabethtown, North Carolina, USA,US 701 & lakes shel terrace, North Carolina, USA,US 701 & county: bladen lakes, elizabethtown, North Carolina, USA,US 701 & county: bladen lakes, North Carolina, USA"
18,None,None,None,None
19,None,None,None,None
20,None,None,None,None
21,None,None,None,None
22,None,None,None,None
23,None,None,None,None
24,None,None,None,None
25,None,None,None,None
26,None,None,None,None
27,None,None,None,None
28,None,None,None,None
29,None,None,None,None
30,None,None,None,None
31,None,None,None,None
32,None,None,None,None
33,None,None,None,None
34,None,None,None,None
35,"-82.915938,-81.69429149999999,-78.67602","35.54261100000001,35.71860600000001,35.329617","99.22,99.6,98.16","I-40 & I-74, North Carolina, USA,I-40 & US 64, North Carolina, USA,I-40 & NC 82, North Carolina, USA"
36,None,None,None,None
37,None,None,None,None
38,None,None,None,None
39,None,None,None,None
40,None,None,None,None
41,"-81.94806,-81.94806,-78.46843833905147,-78.46843833905147,-78.41925,-78.41925,-78.48072,-78.48072","35.383482,35.383482,35.766649528218444,35.766649528218444,35.802963000000005,35.802963000000005,35.798814,35.798814","97.37,100,97.58,97.5,98.03,99.61,99.18,99.02","US 64 & rock road, knightdale, North Carolina, USA,US 64 & rock road, North Carolina, USA,US 64 & near knight dale, knightdale, North Carolina, USA,US 64 & near knight dale, North Carolina, USA,US 64 & eagle rock road, knightdale, North Carolina, USA,US 64 & eagle rock road, North Carolina, USA,US 64 & knight dale, knightdale, North Carolina, USA,US 64 & knight dale, North Carolina, USA"
42,None,None,None,None
43,None,None,None,None
44,"-78.43270025203401,-77.96529,-77.0673657084176","33.89462584096029,35.74520100000001,35.55493380891275","91.77,98.06,92.5","US 264 & I-73, wilmington, North Carolina, USA,US 264 & I-73, raleigh, North Carolina, USA,US 264 & I-73, North Carolina, USA"
45,None,None,None,None
46,"-78.67602,-78.67602,-78.67602,-78.67602,-78.67602,-78.67602,-78.67602,-77.99366999999995,-79.16352168461655,-79.9749495,-78.90963030239692,-78.60867999999994,-78.43303881031781,-77.89788955810113,-79.1111295,-79.1111295,-79.1111295,-79.1111295,-79.1111295,-79.1111295,-79.1111295,-79.83021123716814,-79.83021123716814,-79.83021123716814,-79.83021123716814,-79.83021123716814,-79.83021123716814,-79.83021123716814,-82.915938,-82.915938,-82.915938,-82.915938,-82.915938,-82.915938,-82.915938","35.329617,35.329617,35.329617,35.329617,35.329617,35.329617,35.329617,34.73545000000007,34.59640060791841,35.966511,35.06896236119967,35.306710000000066,33.89555284096028,34.02026391915804,34.593129000000005,34.593129000000005,34.593129000000005,34.593129000000005,34.593129000000005,34.593129000000005,34.593129000000005,35.68578307964603,35.68578307964603,35.68578307964603,35.68578307964603,35.68578307964603,35.68578307964603,35.68578307964603,35.54261100000001,35.54261100000001,35.54261100000001,35.54261100000001,35.54261100000001,35.54261100000001,35.54261100000001","96.05,95.62,96.82,95.06,96.82,95.42,98.16,90.67,92.03,91.33,97,89.63,92.76,92.59,96.82,99.34,97.69,95.71,97.69,96.12,99.22,96.9,96.43,97.75,95.81,97.75,96.21,99.22,96.82,96.34,97.69,95.71,97.69,96.12,99.22","I-74 & NC 82, wallace, North Carolina, USA,I-74 & NC 82, lumberton, North Carolina, USA,I-74 & NC 82, king, North Carolina, USA,I-74 & NC 82, fayetteville, North Carolina, USA,I-74 & NC 82, dunn, North Carolina, USA,I-74 & NC 82, wilmington, North Carolina, USA,I-74 & NC 82, North Carolina, USA,I-74 & NC 87, wallace, North Carolina, USA,I-74 & NC 87, lumberton, North Carolina, USA,I-74 & NC 87, king, North Carolina, USA,I-74 & NC 87, fayetteville, North Carolina, USA,I-74 & NC 87, dunn, North Carolina, USA,I-74 & NC 87, wilmington, North Carolina, USA,I-74 & NC 87, North Carolina, USA,I-74 & I-95, wallace, North Carolina, USA,I-74 & I-95, lumberton, North Carolina, USA,I-74 & I-95, king, North Carolina, USA,I-74 & I-95, fayetteville, North Carolina, USA,I-74 & I-95, dunn, North Carolina, USA,I-74 & I-95, wilmington, North Carolina, USA,I-74 & I-95, North Carolina, USA,I-74 & US 64, wallace, North Carolina, USA,I-74 & US 64, lumberton, North Carolina, USA,I-74 & US 64, king, North Carolina, USA,I-74 & US 64, fayetteville, North Carolina, USA,I-74 & US 64, dunn, North Carolina, USA,I-74 & US 64, wilmington, North Carolina, USA,I-74 & US 64, North Carolina, USA,I-74 & I-40, wallace, North Carolina, USA,I-74 & I-40, lumberton, North Carolina, USA,I-74 & I-40, king, North Carolina, USA,I-74 & I-40, fayetteville, North Carolina, USA,I-74 & I-40, dunn, North Carolina, USA,I-74 & I-40, wilmington, North Carolina, USA,I-74 & I-40, North Carolina, USA"
47,"-79.16352168461655,-78.90963030239692,-77.89788955810113,-79.1111295,-79.1111295,-79.1111295","34.59640060791841,35.06896236119967,34.02026391915804,34.593129000000005,34.593129000000005,34.593129000000005","92.03,97,92.59,99.34,95.71,99.22","I-74 & NC 87, lumberton, North Carolina, USA,I-74 & NC 87, fayetteville, North Carolina, USA,I-74 & NC 87, North Carolina, USA,I-74 & I-95, lumberton, North Carolina, USA,I-74 & I-95, fayetteville, North Carolina, USA,I-74 & I-95, North Carolina, USA"
48,None,None,None,None
49,"-78.64163100000002,-82.915938,-82.5044805,-82.915938,-78.64163100000002,-78.51803849999999,-82.5044805,-78.51803849999999","35.75426399999999,35.54261100000001,35.558203500000005,35.54261100000001,35.75426399999999,35.38972799999999,35.558203500000005,35.38972799999999","97.72,97.09,98,99.22,97.72,97.09,98,99.22","I-40 & I-74, wilmington, North Carolina, USA,I-40 & I-74, durham, North Carolina, USA,I-40 & I-74, raleigh, North Carolina, USA,I-40 & I-74, North Carolina, USA,I-40 & I-95, wilmington, North Carolina, USA,I-40 & I-95, durham, North Carolina, USA,I-40 & I-95, raleigh, North Carolina, USA,I-40 & I-95, North Carolina, USA"
50,"-79.1111295,-79.1111295","34.593129000000005,34.593129000000005","99.34,99.22","I-74 & I-95, lumberton, North Carolina, USA,I-74 & I-95, North Carolina, USA"
51,None,None,None,None
52,None,None,None,None
53,None,None,None,None
54,None,None,None,None
