State,Interstate Highway
North Carolina,I-295
North Carolina,I-440
North Carolina,I-485
North Carolina,I-540
North Carolina,I-785
North Carolina,I-795
North Carolina,I-840
North Dakota,I-29
North Dakota,I-94
North Dakota,I-194
Ohio,I-70
Ohio,I-71
Ohio,I-74
Ohio,I-75
Ohio,I-76
Ohio,I-77
Ohio,I-80
Ohio,I-90
Ohio,I-270
Ohio,I-271
Ohio,I-275
Ohio,I-277
Ohio,I-280
Ohio,I-470
Ohio,I-471
Ohio,I-475
Ohio,I-480
Ohio,I-490
Ohio,I-670
Ohio,I-675
Ohio,I-680
Oklahoma,I-35
Oklahoma,I-40
Oklahoma,I-44
Oklahoma,I-235
Oklahoma,I-240
Oklahoma,I-244
Oklahoma,I-444
Oregon,I-5
Oregon,I-82
Oregon,I-84
Oregon,I-105
Oregon,I-205
Oregon,I-405
Pennsylvania,I-70
Pennsylvania,I-76
Pennsylvania,I-78
Pennsylvania,I-79
Pennsylvania,I-80
Pennsylvania,I-81
Pennsylvania,I-83
Pennsylvania,I-84
Pennsylvania,I-86
Pennsylvania,I-90
Pennsylvania,I-95
Pennsylvania,I-99
Pennsylvania,I-176
Pennsylvania,I-180
Pennsylvania,I-276
Pennsylvania,I-279
Pennsylvania,I-283
Pennsylvania,I-376
Pennsylvania,I-380
Pennsylvania,I-476
Pennsylvania,I-579
Pennsylvania,I-676
Puerto Rico,PRI-1
Puerto Rico,PRI-2
Puerto Rico,PRI-3
Rhode Island,I-95
Rhode Island,I-195
Rhode Island,I-295
South Carolina,I-20
South Carolina,I-26
South Carolina,I-77
South Carolina,I-85
South Carolina,I-95
South Carolina,I-126
South Carolina,I-185
South Carolina,I-385
South Carolina,I-520
South Carolina,I-526
South Carolina,I-585
South Dakota,I-29
South Dakota,I-90
South Dakota,I-190
South Dakota,I-229
Tennessee,I-24
Tennessee,I-26
Tennessee,I-40
Tennessee,I-55
Tennessee,I-65
Tennessee,I-69 
Tennessee,I-75
Tennessee,I-81
Tennessee,I-124
Tennessee,I-140
Tennessee,I-155
Tennessee,I-240
Tennessee,I-269
Tennessee,I-275
Tennessee,I-440
Tennessee,I-640
Tennessee,I-840
Texas,I-2
Texas,I-10
Texas,I-14 
Texas,I-20
Texas,I-27
Texas,I-30
Texas,I-35
Texas,I-35E
Texas,I-35W
Texas,I-37
Texas,I-40
Texas,I-44
Texas,I-45
Texas,I-69
Texas,I-69C
Texas,I-69E
Texas,I-69W
Texas,I-110
Texas,I-169
Texas,I-345
Texas,I-369
Texas,I-410
Texas,I-610
Texas,I-635
Texas,I-820
Utah,I-15
Utah,I-70
Utah,I-80
Utah,I-84
Utah,I-215
Vermont,I-89
Vermont,I-91
Vermont,I-93
Vermont,I-189
Virginia,I-64
Virginia,I-66
Virginia,I-77
Virginia,I-81
Virginia,I-85
Virginia,I-95
Virginia,I-195
Virginia,I-264
Virginia,I-295
