,x,y,match_scores,matched_addresses
0,-81.35580734901838,28.670114811443604,87.66,"I-10, mile marker 339, Florida, USA"
1,"-84.27911999999998,-81.5247405,-81.09416302670999,-81.09416302670999,-81.09416302670999,-81.63437418124894,-81.35450999999995,-81.52474050000001,-81.35450999999995,-81.09416302670999","30.587300000000027,30.316833000000006,26.833696120770036,26.833696120770036,26.833696120770036,28.139782556442103,28.867770000000064,30.316833000000006,28.867770000000064,26.833696120770036","79.29,92.28,79.32,83.95,80.1,88.66,91.98,99.02,85.58,76.69","I-295 & blocked la street, Florida, USA,I-295 & johns bluff, Florida, USA,I-295 & bluff left lane, Florida, USA,I-295 & left lane, Florida, USA,I-295 & before street, Florida, USA,I-295 & la street, Florida, USA,I-295 & le fort, Florida, USA,I-295 & st johns bluff, Florida, USA,I-295 & bluff le fort, Florida, USA,I-295 & south before street, Florida, USA"
2,-81.65379150000001,30.31407,99.6,"US 90 & I-95, Florida, USA"
3,-81.65379150000001,30.31407,99.6,"US 90 & I-95, Florida, USA"
4,"-84.55716403960271,-81.35579369576898","30.513520409986356,28.670606328421638","82.7,87.66","I-75, mile marker 447, milton, Florida, USA,I-75, mile marker 447, Florida, USA"
5,"-82.10448900000002,-82.10074999999995","30.26303100000001,30.264620000000036","99.22,81.58","SR 228 & I-10, Florida, USA,SR 228, exit 336, Florida, USA"
6,"-84.55716403960271,-81.35579369576898","30.513520409986356,28.670606328421638","82.7,87.66","I-75, mile marker 447, milton, Florida, USA,I-75, mile marker 447, Florida, USA"
7,-81.35580734901838,28.670114811443604,87.66,"I-10, mile marker 339, Florida, USA"
8,-81.35580734901838,28.670114811443604,87.66,"I-10, mile marker 339, Florida, USA"
9,"-82.72731029569856,-80.25115999999997,-80.25115999999997,-81.597753,-81.35450999999995,-81.5526,-81.60012,-82.72731029569856,-81.54712736510078,-81.5526","30.270448786533315,25.838430000000074,25.838430000000074,30.245616000000002,28.867770000000064,30.249918000000008,30.244175999999996,30.270448786533315,28.61540964586903,30.249918000000008","80.39,81.4,85.95,98.18,90.45,96.54,99.61,84.17,84.27,97.04","SR 202 & blvd we street, Florida, USA,SR 202 & blvd w estate, Florida, USA,SR 202 & w estate, Florida, USA,SR 202 & sr-202 butler boulevard, Florida, USA,SR 202 & le fort, Florida, USA,SR 202 & southside left lane, Florida, USA,SR 202 & butler boulevard, Florida, USA,SR 202 & we street, Florida, USA,SR 202 & left lane, Florida, USA,SR 202 & southside le fort, Florida, USA"
