,x,y,match_scores,matched_addresses
0,"-82.04098999999997,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.64453000000003,35.64453000000003,35.64453000000003,35.64453000000003","73.09,87.54,82.91,95.44","I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, wade, North Carolina, USA,I-40, exit 81, stedman, North Carolina, USA,I-40, exit 81, North Carolina, USA"
1,"-78.67259999999999,-78.67259999999999","35.756290000000035,35.756290000000035","93.68,92.45","I-40, exit 297, wake county, North Carolina, USA,I-40, exit 297, North Carolina, USA"
2,None,None,None,None
3,None,None,None,None
4,None,None,None,None
5,None,None,None,None
6,None,None,None,None
7,-78.57667876175547,35.87517815360502,99.22,"US 1 & I-540, North Carolina, USA"
8,"-76.71714999999995,-78.57667876175547,-79.42463848235926,-78.50751999999994,-79.42463848235926,-78.50751999999994,-78.57667876175547,-78.50751999999994,-78.81282999999996,-78.81282999999996,-76.71714999999995,-81.14542776664413,-78.77160405141542,-86.5007629408841","34.75266000000005,35.87517815360502,35.18415527845099,35.97509000000008,35.18415527845099,35.97509000000008,35.87517815360502,35.97509000000008,35.24684000000008,35.24684000000008,34.75266000000005,36.16784345218801,35.63102883062334,31.296618000000002","84.32,99.61,86.24,92.5,89.43,94.67,99.61,85.29,87.59,81.62,91.36,80.78,86.72,87.52","I-540 & accident rig heights, North Carolina, USA,I-540 & capital boulevard, North Carolina, USA,I-540 & in #wakefo rest, North Carolina, USA,I-540 & in #wake forest, North Carolina, USA,I-540 & #wakefo rest, North Carolina, USA,I-540 & #wake forest, North Carolina, USA,I-540 & - capital boulevard, North Carolina, USA,I-540 & in #wakefor estate, North Carolina, USA,I-540 & right lane, North Carolina, USA,I-540 & accident right lane, North Carolina, USA,I-540 & rig heights, North Carolina, USA,I-540 & in #wakefore street, North Carolina, USA,I-540 & #wakefore street, North Carolina, USA,I-540 & #wakefor estate, North Carolina, USA"
9,None,None,None,None
10,None,None,None,None
11,"-78.98409999999996,-78.98409999999996,-78.98409999999996,-78.96484999999996,-78.96484999999996,-78.96484999999996","35.91608000000008,35.91608000000008,35.91608000000008,35.90370000000007,35.90370000000007,35.90370000000007","95.02,95.02,94.05,94.91,95.05,93.92","I-40, exit 273, durham county, North Carolina, USA,I-40, exit 273, durham, North Carolina, USA,I-40, exit 273, North Carolina, USA,I-40, exit 274, durham county, North Carolina, USA,I-40, exit 274, durham, North Carolina, USA,I-40, exit 274, North Carolina, USA"
12,"-82.04098999999997,-82.04098999999997,-82.04098999999997,-82.04098999999997","35.64453000000003,35.64453000000003,35.64453000000003,35.64453000000003","73.09,87.54,82.91,95.44","I-40, exit 81, cumberland county, North Carolina, USA,I-40, exit 81, wade, North Carolina, USA,I-40, exit 81, stedman, North Carolina, USA,I-40, exit 81, North Carolina, USA"
13,None,None,None,None
14,None,None,None,None
15,None,None,None,None
16,None,None,None,None
