,exit_list
699,exit 160a
700,exit 160a
701,exit 164
702,exit 164
703,exit 164
704,exit 1
705,exit 66
706,exit 66
707,exit 56
708,exit 56
709,exit 57
710,exit 57
711,exit 57
712,exit 57
713,exit 19b
714,exit 82
715,exit 87
716,exit 87
717,"exit 16,exit 19"
718,None
719,exit 87
720,"exit 54,exit 51a-sc146-woodruff"
721,"exit 51a-sc146-woodruff,exit 54"
722,"exit 92,exit 90"
723,"exit 92,exit 90"
724,"exit 87,exit 90"
725,exit 36b
726,"exit 51b-i385s-greenville,exit 51a-sc146-woodruff"
727,"exit 54,exit 51a-sc146-woodruff"
728,"exit 51a-sc146-woodruff,exit 54"
729,"exit 27,exit 32"
730,"exit 5,exit 1"
731,"exit 27,exit 32"
732,exit 39
733,exit 60
734,None
735,"exit 63,exit 69"
736,exit 80
737,exit 80
738,exit 44
739,"exit 16,exit 16"
740,exit 51a-sc146-woodruff
741,exit 57
742,"exit 51a-sc146-woodruff,exit 54"
743,exit 88
744,exit 88
745,"exit 51a-sc146-woodruff,exit 54"
746,"exit 5,exit 1"
747,"exit 54,exit 51a-sc146-woodruff"
748,exit 95
749,exit 95
750,"exit 51a-sc146-woodruff,exit 54"
751,"exit 36b,exit 36a"
752,"exit 21,exit 19a"
753,"exit 54,exit 51a-sc146-woodruff"
754,exit 51c-i385n-greenville
755,"exit 51a-sc146-woodruff,exit 54"
756,"exit 35,exit 37"
757,"exit 87,exit 83"
758,"exit 5,exit 1"
759,"exit 27,exit 32"
760,exit 83
761,exit 69
762,None
763,exit 87
764,exit 87
765,"exit 16,exit 16"
766,exit 87
767,"exit 54,exit 51a-sc146-woodruff"
768,None
769,None
770,None
771,exit 90
772,exit 90
773,"exit 66,exit 77"
774,exit 51c-i385n-greenville
775,exit 51c-i385n-greenville
776,exit 54
777,exit 51c-i385n-greenville
778,exit 54
779,exit 77
780,None
781,exit 19b
782,exit 11
783,exit 95
784,exit 95
785,None
786,exit 87
787,exit 11
788,exit 35
789,exit 90
790,exit 90
791,exit 37
792,exit 37
793,exit 11
794,exit 4
795,None
796,None
797,None
798,exit 56
799,exit 51a-sc146-woodruff
800,"exit 60,exit 66"
801,exit 60
802,exit 5
803,exit 2a
804,exit 35
805,"exit 60,exit 66"
806,exit 35
807,exit 58
808,exit 35
809,exit 5
810,exit 5
811,exit 39
812,exit 77
813,exit 5
814,exit 39
815,exit 39
816,exit 39
817,exit 60
818,exit 39
819,exit 51a-sc146-woodruff
820,exit 51a-sc146-woodruff
821,exit 63
822,exit 42
823,exit 51a-sc146-woodruff
824,exit 51a-sc146-woodruff
825,exit 56
826,exit 56
827,exit 56
828,exit 35
829,exit 35
830,exit 35
831,exit 35
832,None
833,exit 51a-sc146-woodruff
834,exit 35
835,exit 35
836,exit 51a-sc146-woodruff
837,exit 36a
838,exit 36a
839,exit 51a-sc146-woodruff
840,exit 51a-sc146-woodruff
841,exit 35
842,exit 35
843,exit 1
844,exit 1
845,"exit 5,exit 1"
846,exit 1
847,exit 35
848,exit 63
849,exit 70
850,exit 70
851,exit 63
852,exit 70
853,exit 63
854,exit 63
855,exit 63
856,exit 63
857,exit 63
858,exit 63
859,"exit 54,exit 51a-sc146-woodruff"
860,exit 63
861,"exit 16,exit 16"
862,exit 54
863,"exit 106,exit 104"
864,"exit 90,exit 92"
865,"exit 83,exit 87"
866,exit 57
867,exit 57
868,"exit 83,exit 87"
869,"exit 106,exit 104"
870,"exit 88,exit 88"
871,"exit 22,exit 22"
872,"exit 13,exit 10"
873,exit 107a
874,None
875,None
876,exit 55
877,exit 5
878,exit 19
879,None
880,None
881,None
882,exit 5
883,exit 5
884,exit 41
885,"exit 15a,exit 16"
886,exit 92
887,exit 92
888,"exit 16,exit 19"
889,exit 106
890,"exit 15a,exit 19"
891,"exit 15a,exit 19"
892,exit 108a
893,exit 108a
894,"exit 125,exit 101a"
895,"exit 15a,exit 19"
896,"exit 15b,exit 12"
897,"exit 17,exit 19"
898,"exit 58,exit 55"
899,"exit 15a,exit 12"
900,exit 108a
901,"exit 15b,exit 12"
902,None
903,exit 64a
904,"exit 63,exit 64a"
905,exit 107a
906,"exit 17,exit 19"
907,"exit 48,exit 48"
908,"exit 19,exit 16"
909,"exit 19,exit 16"
910,exit 65
911,"exit 19,exit 16"
912,exit 65
913,exit 55
914,exit 55
915,exit 16
916,exit 5
917,None
918,exit 17
919,"exit 16,exit 17"
920,exit 46
921,exit 91
922,"exit 17,exit 19"
923,"exit 19,exit 16"
924,exit 91
925,"exit 17,exit 19"
926,None
927,"exit 13,exit 19"
928,"exit 5,exit 2"
929,"exit 17,exit 19"
930,"exit 15a,exit 12"
931,"exit 55,exit 58"
932,"exit 19,exit 15a"
933,"exit 58,exit 55"
934,"exit 107a,exit 108a"
935,exit 64a
936,"exit 15a,exit 12"
937,exit 68
938,"exit 46,exit 48"
939,"exit 17,exit 19"
940,"exit 5,exit 2"
941,"exit 15a,exit 12"
942,exit 82
943,exit 82
944,None
945,exit 106
946,"exit 15a,exit 19"
947,exit 106
948,"exit 19,exit 16"
949,"exit 101a,exit 106"
950,exit 106
951,exit 106
952,"exit 15a,exit 17"
953,exit 104
954,exit 106
955,exit 65
956,exit 65
957,exit 17
958,exit 17
959,exit 17
960,exit 63
961,exit 63
962,exit 68
963,exit 2
964,exit 73a
965,exit 97
966,exit 97
967,"exit 97,exit 101a"
968,exit 85
969,"exit 97,exit 101a"
970,exit 51
971,"exit 111b,exit 220"
972,exit 111a
973,"exit 125,exit 129"
974,exit 111a
975,exit 111a
976,exit 113
977,"exit 60,exit 66"
978,"exit 125,exit 129"
979,exit 70
980,exit 70
981,exit 70
982,exit 70
983,"exit 91,exit 97"
984,"exit 60,exit 66"
985,exit 106
986,"exit 125,exit 139"
987,"exit 125,exit 125"
988,exit 106
989,exit 104
990,exit 106
991,exit 106
992,"exit 74,exit 76"
993,exit 27
994,exit 64a
995,exit 27
996,exit 58
997,None
998,None
999,None
1000,exit 97
1001,exit 97
1002,exit 97
1003,exit 97
1004,exit 97
1005,exit 97
1006,exit 34
1007,exit 34
1008,exit 34
1009,exit 34
1010,exit 82
1011,exit 82
1012,exit 19
1013,exit 111b
1014,exit 111b
1015,exit 111b
1016,exit 129
1017,exit 129
1018,exit 129
1019,exit 129
1020,exit 111b
1021,exit 80
1022,exit 80
1023,exit 113
1024,exit 6b
1025,exit 110
1026,exit 110
1027,exit 2
1028,exit 110
1029,exit 46
1030,exit 110
1031,"exit 73a,exit 73b"
1032,"exit 73a,exit 73b"
1033,exit 97
1034,exit 97
1035,exit 97
1036,exit 97
1037,exit 5
1038,exit 5
1039,exit 76
1040,exit 107a
1041,exit 11
1042,"exit 107a,exit 101a"
1043,exit 101a
1044,"exit 18,exit 18"
1045,exit 17
1046,exit 17
1047,"exit 70,exit 55"
1048,"exit 107a,exit 101a"
1049,"exit 106,exit 101a"
1050,"exit 92,exit 92"
1051,"exit 61,exit 55"
1052,exit 61
1053,exit 61
1054,"exit 104,exit 101a"
1055,"exit 70,exit 61"
1056,"exit 63,exit 61"
1057,exit 68
1058,exit 68
1059,exit 68
1060,exit 1
1061,exit 1
1062,"exit 98,exit 92"
1063,None
1064,exit 211
1065,exit 211
1066,exit 20
1067,exit 20
1068,exit 20
1069,None
1070,exit 136
1071,exit 20
1072,exit 20
1073,"exit 102,exit 98"
1074,exit 220
1075,"exit 125,exit 101a"
1076,"exit 28,exit 22"
1077,"exit 18,exit 18"
1078,exit 212b
1079,exit 212b
1080,exit 209
1081,exit 209
1082,exit 209
1083,exit 209
1084,exit 211
1085,exit 211
1086,exit 20
1087,exit 211
1088,exit 20
1089,exit 20
1090,exit 211
1091,exit 211
1092,exit 212b
1093,exit 18
1094,exit 24
1095,"exit 18,exit 8"
1096,exit 209
1097,exit 33
1098,exit 33
1099,exit 20
1100,exit 215
1101,exit 215
1102,exit 20
1103,exit 20
1104,exit 20
1105,exit 20
1106,exit 11b
1107,exit 11b
1108,exit 11b
1109,exit 20
1110,exit 20
1111,"exit 187,exit 187"
1112,exit 172b
1113,"exit 177,exit 187"
1114,exit 217
1115,exit 217
1116,exit 165
1117,exit 194
1118,exit 194
1119,"exit 111b,exit 220"
1120,"exit 169b,exit 177"
1121,exit 154a
1122,exit 154a
1123,"exit 125,exit 129"
1124,"exit 149,exit 154b"
1125,exit 8
1126,"exit 5,exit 33"
1127,"exit 28,exit 33"
1128,exit 33
1129,exit 8
1130,"exit 169b,exit 177"
1131,"exit 125,exit 129"
1132,"exit 169b,exit 172b"
1133,"exit 149,exit 154b"
1134,"exit 28,exit 33"
1135,exit 215
1136,"exit 125,exit 139"
1137,exit 139
1138,"exit 28,exit 28"
1139,"exit 125,exit 125"
1140,"exit 28,exit 28"
1141,"exit 28,exit 28"
1142,None
1143,"exit 28,exit 28"
1144,None
1145,exit 139
1146,exit 215
1147,exit 215
1148,exit 93
1149,exit 93
1150,exit 93
1151,exit 93
1152,"exit 42,exit 33"
1153,"exit 42,exit 33"
1154,"exit 177,exit 177"
1155,exit 93
1156,exit 212b
1157,exit 212b
1158,exit 20
1159,exit 18
1160,exit 18
1161,exit 129
1162,exit 129
1163,exit 129
1164,exit 129
1165,exit 216
1166,exit 194
1167,exit 42
1168,exit 219a
1169,exit 42
1170,exit 187
1171,exit 187
1172,exit 33
1173,exit 33
1174,exit 33
1175,exit 172a
1176,exit 33
1177,exit 20
1178,exit 20
1179,None
1180,exit 23a
1181,exit 24
1182,None
1183,exit 24
1184,None
1185,None
1186,exit 5
1187,exit 23a
1188,exit 33
1189,exit 18
1190,exit 23a
1191,exit 98
1192,exit 18
1193,exit 23a
1194,exit 5
1195,exit 5
1196,exit 28
1197,exit 28
1198,exit 154a
1199,exit 154a
1200,"exit 8,exit 5"
