,x,y,match_scores,matched_addresses
0,"-80.3205225,-80.3205225","25.780581,25.780581","93.84,92.63","SR 836 & SR 826, miami, Florida, USA,SR 836 & SR 826, Florida, USA"
1,-80.9793,28.452663,92.95,"SR 520 & SR 528, Florida, USA"
2,"-80.19772999999998,-84.27911999999998,-80.19772999999998,-81.63437418124894,-80.3365785,-80.3365785,-80.3365785,-80.3365785,-80.38089999999994,-82.47819999999996,-80.19772999999998,-81.63437418124894,-80.21374525923567,-82.47819999999996,-80.19772999999998,-80.41755956647565","25.77481000000006,30.587300000000027,25.77481000000006,28.139782556442103,25.781265000000012,25.781265000000012,25.781265000000012,25.781616,25.597380000000044,27.972300000000075,25.77481000000006,28.139782556442103,25.745793288002666,27.972300000000075,25.77481000000006,25.776507659312323","80,78.55,81.43,86.54,94.21,93.09,93.89,92.7,81.5,88.79,81.43,81.36,81.72,87.6,80,76.21","SR 836 & blocked la street, miami, Florida, USA,SR 836 & blocked la street, Florida, USA,SR 836 & la street, miami, Florida, USA,SR 836 & la street, Florida, USA,SR 836 & nw 87 avenue, miami, Florida, USA,SR 836 & nw 87 avenue, Florida, USA,SR 836 & 87 avenue, miami, Florida, USA,SR 836 & 87 avenue, Florida, USA,SR 836 & rig heights, miami, Florida, USA,SR 836 & rig heights, Florida, USA,SR 836 & ea street, miami, Florida, USA,SR 836 & ea street, Florida, USA,SR 836 & 2 rig heights, miami, Florida, USA,SR 836 & 2 rig heights, Florida, USA,SR 836 & sr-836 ea street, miami, Florida, USA,SR 836 & sr-836 ea street, Florida, USA"
3,"-84.27911999999998,-81.63437418124894,-81.593289,-81.593289,-81.35450999999995,-80.6620803102513","30.587300000000027,28.139782556442103,30.248532,30.248532,28.867770000000064,28.35076710449586","80.09,90.99,96.09,96.64,93.66,83.27","I-95 & blocked la street, Florida, USA,I-95 & la street, Florida, USA,I-95 & butler left lane, Florida, USA,I-95 & butler le fort, Florida, USA,I-95 & le fort, Florida, USA,I-95 & left lane, Florida, USA"
4,"-84.27911999999998,-81.63437418124894,-81.5710095,-81.5710095,-81.5710095,-81.35450999999995,-80.6620803102513,-81.5710095","30.587300000000027,28.139782556442103,30.220785,30.220785,30.220785,28.867770000000064,28.35076710449586,30.220785","80.09,90.99,99.02,96.46,96.97,93.66,83.27,88.78","I-95 & blocked la street, Florida, USA,I-95 & la street, Florida, USA,I-95 & bay meadows, Florida, USA,I-95 & baymeadows left lane, Florida, USA,I-95 & baymeadows le fort, Florida, USA,I-95 & le fort, Florida, USA,I-95 & left lane, Florida, USA,I-95 & beyond bay meadows, Florida, USA"
5,-80.9793,28.452663,92.95,"SR 520 & SR 528, Florida, USA"
6,-81.37852999999996,28.562320000000057,93.77,"I-4, exit 84, Florida, USA"
7,"-84.27911999999998,-83.65255493814433,-80.3895615,-82.47819999999996,-86.792418,-83.65255493814433,-80.3895615,-81.752031","30.587300000000027,30.43819877319588,27.619731,27.972300000000075,30.685149000000006,30.43819877319588,27.619731,30.315627","80.09,85.23,94.93,91.48,95.91,82,94.71,87.43","I-10 & blocked la street, Florida, USA,I-10 & la street, Florida, USA,I-10 & commerce right lane, Florida, USA,I-10 & rig heights, Florida, USA,I-10 & i-10 ea street, Florida, USA,I-10 & ea street, Florida, USA,I-10 & commerce rig heights, Florida, USA,I-10 & right lane, Florida, USA"
8,"-80.31707648795702,-80.32444425","25.700248491409493,25.900911000000008","98.06,99.22","SR 826 & I-75, miami, Florida, USA,SR 826 & I-75, Florida, USA"
9,None,None,None,None
10,-82.26522690801531,26.89669864891217,88.81,"I-4, mile marker 123, Florida, USA"
11,-82.26522690801531,26.89669864891217,88.81,"I-4, mile marker 123, Florida, USA"
12,-81.41373,28.552706999999998,99.22,"SR 50 & SR 423, Florida, USA"
13,-82.26522690801531,26.89669864891217,88.81,"I-4, mile marker 123, Florida, USA"
14,-81.41373,28.552706999999998,99.22,"SR 50 & SR 423, Florida, USA"
15,"-84.27911999999998,-81.63437418124894,-82.47819999999996,-80.3577825,-80.79011511527169,-80.3577825","30.587300000000027,28.139782556442103,27.972300000000075,25.841807999999997,28.366153278550417,25.841807999999997","80.09,90.99,91.48,93.5,89.21,93.26","I-75 & blocked la street, Florida, USA,I-75 & la street, Florida, USA,I-75 & rig heights, Florida, USA,I-75 & 98 right lane, Florida, USA,I-75 & right lane, Florida, USA,I-75 & 98 rig heights, Florida, USA"
16,-81.34000999999995,26.154900000000055,93.65,"I-75, exit 80, Florida, USA"
17,"-81.3450825,-81.34000999999995","26.154855000000005,26.154900000000055","99.6,81.2","SR 29 & I-75, Florida, USA,SR 29, exit 80, Florida, USA"
18,"-81.3450825,-81.34000999999995","26.154855000000005,26.154900000000055","99.6,81.2","SR 29 & I-75, Florida, USA,SR 29, exit 80, Florida, USA"
19,-81.34000999999995,26.154900000000055,93.65,"I-75, exit 80, Florida, USA"
20,"-82.446975,-81.63437418124894,-82.446975,-84.27911999999998","27.353699999999996,28.139782556442103,27.353699999999996,30.587300000000027","92.75,90.99,89.65,80.09","I-75 & browa road, Florida, USA,I-75 & la street, Florida, USA,I-75 & in browa road, Florida, USA,I-75 & blocked la street, Florida, USA"
21,"-81.388503,-81.388503,-81.38842999999997,-81.38842999999997","28.66184100000001,28.66184100000001,28.659340000000043,28.659340000000043","99.32,99.22,84.22,79.18","SR 436 & I-4, seminole, Florida, USA,SR 436 & I-4, Florida, USA,SR 436, exit 92, seminole, Florida, USA,SR 436, exit 92, Florida, USA"
22,"-80.2396305,-80.2396305,-80.19772999999998,-80.41755956647565,-80.25115999999997,-80.25115999999997,-80.2396305,-80.2396305,-84.3834691299609,-81.35450999999995,-80.345673,-81.35450999999995,-80.19772999999998,-81.63437418124894,-80.41755956647565,-81.50962401024375","25.784828999999995,25.784828999999995,25.77481000000006,25.776507659312323,25.838430000000074,25.838430000000074,25.784828999999995,25.784828999999995,29.980385041978774,28.867770000000064,25.944390000000006,28.867770000000064,25.77481000000006,28.139782556442103,25.776507659312323,27.590209722221115","94.21,93.09,80,76.21,86.49,85.95,93.89,92.7,82.42,89.07,83.55,90.45,81.43,81.36,82.01,81.81","SR 836 & nw 27 avenue, miami, Florida, USA,SR 836 & nw 27 avenue, Florida, USA,SR 836 & sr-836 we street, miami, Florida, USA,SR 836 & sr-836 we street, Florida, USA,SR 836 & w estate, miami, Florida, USA,SR 836 & w estate, Florida, USA,SR 836 & 27 avenue, miami, Florida, USA,SR 836 & 27 avenue, Florida, USA,SR 836 & 2 le fort, miami, Florida, USA,SR 836 & 2 le fort, Florida, USA,SR 836 & le fort, miami, Florida, USA,SR 836 & le fort, Florida, USA,SR 836 & we street, miami, Florida, USA,SR 836 & we street, Florida, USA,SR 836 & sr-836 w estate, miami, Florida, USA,SR 836 & sr-836 w estate, Florida, USA"
