id,username,date,text,time,state,split_text
918718146411761666,NWSTallahassee,2017-10-13,temperatures are expected to become cooler starting tuesday highs from upper 70s - lower 80s & lows in lower 60s for the rest of next week,06:00:49,Florida,"['temperatures', 'are', 'expected', 'to', 'become', 'cooler', 'starting', 'tuesday', 'highs', 'from', 'upper', '70s', '-', 'lower', '80s', '&', 'lows', 'in', 'lower', '60s', 'for', 'the', 'rest', 'of', 'next', 'week']"
918660651949678593,NWSTallahassee,2017-10-13,nice lightning photo from a storm offshore panama city beach earlier tonight #flwx   …,02:12:21,Florida,"['nice', 'lightning', 'photo', 'from', 'a', 'storm', 'offshore', 'panama', 'city', 'beach', 'earlier', 'tonight', '#flwx', '…']"
918416373830815744,NWSTallahassee,2017-10-12,school house rock told me interjections were for emotion including mad or sad ,10:01:41,Florida,"['school', 'house', 'rock', 'told', 'me', 'interjections', 'were', 'for', 'emotion', 'including', 'mad', 'or', 'sad']"
918408402577051648,NWSTallahassee,2017-10-12,weve broken the record for highest minimum temperatures the past 4 mornings and could tie todays record! ,09:30:01,Florida,"['weve', 'broken', 'the', 'record', 'for', 'highest', 'minimum', 'temperatures', 'the', 'past', '4', 'mornings', 'and', 'could', 'tie', 'todays', 'record!']"
918398750296608768,NWSTallahassee,2017-10-12,if youre heading out to school or work heads up- its another foggy morning drive carefully!,08:51:39,Florida,"['if', 'youre', 'heading', 'out', 'to', 'school', 'or', 'work', 'heads', 'up-', 'its', 'another', 'foggy', 'morning', 'drive', 'carefully!']"
917935047289856000,NWSTallahassee,2017-10-11,light southerly flow is bringing very moist air northward from the gulf of mexico into our area early this october,02:09:04,Florida,"['light', 'southerly', 'flow', 'is', 'bringing', 'very', 'moist', 'air', 'northward', 'from', 'the', 'gulf', 'of', 'mexico', 'into', 'our', 'area', 'early', 'this', 'october']"
917822718246080512,NWSTallahassee,2017-10-10,lows of 77 degrees the past two days oct 8 & 9 set new monthly record high minimum temperature at tallahassee - previous record 76 #flwx,18:42:43,Florida,"['lows', 'of', '77', 'degrees', 'the', 'past', 'two', 'days', 'oct', '8', '&', '9', 'set', 'new', 'monthly', 'record', 'high', 'minimum', 'temperature', 'at', 'tallahassee', '-', 'previous', 'record', '76', '#flwx']"
917685197927276544,NWSTallahassee,2017-10-10,heading out the door? drive carefully! theres dense fog in southeast al & the fl panhandle this morning,09:36:15,Florida,"['heading', 'out', 'the', 'door?', 'drive', 'carefully!', 'theres', 'dense', 'fog', 'in', 'southeast', 'al', '&', 'the', 'fl', 'panhandle', 'this', 'morning']"
917408141008138240,NWSTallahassee,2017-10-09,red & double red flags along florida panhandle beaches today,15:15:20,Florida,"['red', '&', 'double', 'red', 'flags', 'along', 'florida', 'panhandle', 'beaches', 'today']"
917326622520377346,NWSTallahassee,2017-10-09,your monday morning 109 forecast- scattered storms mostly in se al & s central ga with highs in the upper 80s,09:51:24,Florida,"['your', 'monday', 'morning', '109', 'forecast-', 'scattered', 'storms', 'mostly', 'in', 'se', 'al', '&', 's', 'central', 'ga', 'with', 'highs', 'in', 'the', 'upper', '80s']"
917158706403561472,NWSTallahassee,2017-10-08,the tornado threat has passed,22:44:10,Florida,"['the', 'tornado', 'threat', 'has', 'passed']"
917158521585782784,NWSTallahassee,2017-10-08,the tornado threat has passed,22:43:26,Florida,"['the', 'tornado', 'threat', 'has', 'passed']"
917045963453288460,NWSTallahassee,2017-10-08,nate has now been downgraded to a tropical depression,15:16:10,Florida,"['nate', 'has', 'now', 'been', 'downgraded', 'to', 'a', 'tropical', 'depression']"
917040509734047745,NWSTallahassee,2017-10-08,do you have a street or intersection for pcb?,14:54:29,Florida,"['do', 'you', 'have', 'a', 'street', 'or', 'intersection', 'for', 'pcb?']"
917039816759562244,NWSTallahassee,2017-10-08,could you provide a location on this please?,14:51:44,Florida,"['could', 'you', 'provide', 'a', 'location', 'on', 'this', 'please?']"
917016015682392065,NWSTallahassee,2017-10-08,flash flood warning including elba al new brockton al kinston al until 11:15 am cdt,13:17:10,Florida,"['flash', 'flood', 'warning', 'including', 'elba', 'al', 'new', 'brockton', 'al', 'kinston', 'al', 'until', '11:15', 'am', 'cdt']"
917000705021497344,NWSTallahassee,2017-10-08,latest update on tropical storm nate,12:16:19,Florida,"['latest', 'update', 'on', 'tropical', 'storm', 'nate']"
916967815046942722,NWSTallahassee,2017-10-08,tropical storm conditions and the tornado watch are well west of the valdosta area the tornado threat should remain west of you today,10:05:38,Florida,"['tropical', 'storm', 'conditions', 'and', 'the', 'tornado', 'watch', 'are', 'well', 'west', 'of', 'the', 'valdosta', 'area', 'the', 'tornado', 'threat', 'should', 'remain', 'west', 'of', 'you', 'today']"
916952367966375936,NWSTallahassee,2017-10-08,as of 5 am edt #nate is a tropical storm with peak winds of 70 mph below is the latest advisory no changes to local warnings or impacts,09:04:15,Florida,"['as', 'of', '5', 'am', 'edt', '#nate', 'is', 'a', 'tropical', 'storm', 'with', 'peak', 'winds', 'of', '70', 'mph', 'below', 'is', 'the', 'latest', 'advisory', 'no', 'changes', 'to', 'local', 'warnings', 'or', 'impacts']"
916931694032228352,NWSTallahassee,2017-10-08,if it doesnt put you into the tornado path head to the shelter at walmart 22,07:42:06,Florida,"['if', 'it', 'doesnt', 'put', 'you', 'into', 'the', 'tornado', 'path', 'head', 'to', 'the', 'shelter', 'at', 'walmart', '22']"
916931569797009408,NWSTallahassee,2017-10-08,youd want to know where the tornado is and what directions its moving so you dont drive towardinto it 12,07:41:36,Florida,"['youd', 'want', 'to', 'know', 'where', 'the', 'tornado', 'is', 'and', 'what', 'directions', 'its', 'moving', 'so', 'you', 'dont', 'drive', 'towardinto', 'it', '12']"
