,x,y,match_scores,matched_addresses
0,-82.25595235261704,26.904990447400348,92.42,"SR 429, mile marker 16, Florida, USA"
1,"-81.382509,-81.37852999999996","28.553058000000007,28.562320000000057","99.6,81.35","SR 50 & I-4, Florida, USA,SR 50, exit 84, Florida, USA"
2,"-81.38622151597633,-81.38669999999996","28.60577202248521,28.610990000000072","99.22,94.22","I-4 & SR 423, Florida, USA,I-4, exit 88, Florida, USA"
3,"-80.7059115,-81.55163999999996","28.078866000000005,28.325770000000034","99.6,83.37","US 192 & I-95, Florida, USA,US 192, exit 180, Florida, USA"
4,"-80.7059115,-81.55163999999996","28.078866000000005,28.325770000000034","99.6,83.37","US 192 & I-95, Florida, USA,US 192, exit 180, Florida, USA"
5,"-81.382509,-81.37852999999996","28.553058000000007,28.562320000000057","99.6,81.35","SR 50 & I-4, Florida, USA,SR 50, exit 84, Florida, USA"
6,None,None,None,None
7,None,None,None,None
8,-81.42250999999999,28.505400000000066,92.36,"I-4, exit 79, Florida, USA"
9,"-81.382509,-81.37852999999996","28.553058000000007,28.562320000000057","99.6,81.35","SR 50 & I-4, Florida, USA,SR 50, exit 84, Florida, USA"
10,"-84.27911999999998,-81.55960835225501,-81.63437418124894,-81.35450999999995,-81.35450999999995,-82.54218971701756,-82.54218971701756,-81.73132999999996","30.587300000000027,28.557156158630242,28.139782556442103,28.867770000000064,28.867770000000064,28.142278438333243,28.142278438333243,28.042710000000056","78.55,96.53,86.54,89.07,90.45,77.17,86.75,82.23","SR 429 & blocked la street, Florida, USA,SR 429 & toll plaza, Florida, USA,SR 429 & la street, Florida, USA,SR 429 & 2 le fort, Florida, USA,SR 429 & le fort, Florida, USA,SR 429 & updated: emergency road, Florida, USA,SR 429 & emergency road, Florida, USA,SR 429 & at toll plaza, Florida, USA"
11,"-81.3955995,-81.382509","28.552968000000007,28.553058000000007","100,99.6","SR 50 & US 441, Florida, USA,SR 50 & I-4, Florida, USA"
12,-81.99151999999998,27.997990000000073,70.6,"I-4, exit 81b, Florida, USA"
