,x,y,match_scores,matched_addresses
0,"-84.27911999999998,-87.23483999999999,-81.63437418124894,-82.47819999999996,-80.79011511527169,-82.47819999999996","30.587300000000027,30.415409999999998,28.139782556442103,27.972300000000075,28.366153278550417,27.972300000000075","80.09,78.01,90.99,84.53,89.21,91.48","I-95 & blocked la street, Florida, USA,I-95 & warren right lane, Florida, USA,I-95 & la street, Florida, USA,I-95 & warren rig heights, Florida, USA,I-95 & right lane, Florida, USA,I-95 & rig heights, Florida, USA"
1,"-74.21516895680448,-84.8696985,-74.21516895680448,-84.460878,-84.8696985,-82.47819999999996","42.88395503083169,29.741787000000002,42.88395503083169,29.93004,29.741787000000002,27.972300000000075","81.9,95.68,87.27,88.6,95.43,90.08","SR 30 & blocked la street, Florida, USA,SR 30 & 2 right lane, Florida, USA,SR 30 & la street, Florida, USA,SR 30 & right lane, Florida, USA,SR 30 & 2 rig heights, Florida, USA,SR 30 & rig heights, Florida, USA"
2,"-82.21080342287807,-80.79011511527169,-82.376541,-82.376541,-82.376541,-82.376541,-82.21080342287807,-84.27911999999998,-82.21080342287807,-81.63437418124894,-82.21080342287807,-81.17415712644356,-82.376541,-82.376541,-82.376541,-82.376541,-82.21080342287807,-80.79011511527169,-82.21080342287807,-81.7009155,-82.21080342287807,-82.47819999999996,-82.21080342287807,-82.47819999999996","29.687886000000006,28.366153278550417,29.651877,29.651877,29.651877,29.651877,29.687886000000006,30.587300000000027,29.687886000000006,28.139782556442103,29.687886000000006,29.440271248471518,29.651877,29.651877,29.651877,29.651877,29.687886000000006,28.366153278550417,29.687886000000006,30.373938000000003,29.687886000000006,27.972300000000075,29.687886000000006,27.972300000000075","87.97,83.17,99.66,99.61,99.15,99.02,85.42,79.29,90.34,88.66,90.34,83.95,98.69,98.44,99.66,99.61,89.5,87.02,87.97,78.11,87.27,87.6,88.71,90.08","SR 26 & st right lane, alachua, Florida, USA,SR 26 & st right lane, Florida, USA,SR 26 & 36th street, alachua, Florida, USA,SR 26 & 36th street, Florida, USA,SR 26 & w 36th street, alachua, Florida, USA,SR 26 & w 36th street, Florida, USA,SR 26 & blocked la street, alachua, Florida, USA,SR 26 & blocked la street, Florida, USA,SR 26 & la street, alachua, Florida, USA,SR 26 & la street, Florida, USA,SR 26 & ea street, alachua, Florida, USA,SR 26 & ea street, Florida, USA,SR 26 & sr-26 university avenue, alachua, Florida, USA,SR 26 & sr-26 university avenue, Florida, USA,SR 26 & university avenue, alachua, Florida, USA,SR 26 & university avenue, Florida, USA,SR 26 & right lane, alachua, Florida, USA,SR 26 & right lane, Florida, USA,SR 26 & ave ea street, alachua, Florida, USA,SR 26 & ave ea street, Florida, USA,SR 26 & st rig heights, alachua, Florida, USA,SR 26 & st rig heights, Florida, USA,SR 26 & rig heights, alachua, Florida, USA,SR 26 & rig heights, Florida, USA"
3,-81.35580734901838,28.670114811443604,87.66,"I-10, mile marker 339, Florida, USA"
4,"-84.27911999999998,-81.56052,-81.63437418124894,-81.56052,-80.79011511527169,-80.79011511527169,-82.47819999999996,-82.47819999999996","30.587300000000027,30.392991000000002,28.139782556442103,30.392991000000002,28.366153278550417,28.366153278550417,27.972300000000075,27.972300000000075","79.29,99.02,88.66,99.02,87.02,78.42,84.53,90.08","I-295 & blocked la street, Florida, USA,I-295 & dames point, Florida, USA,I-295 & la street, Florida, USA,I-295 & at dames point, Florida, USA,I-295 & right lane, Florida, USA,I-295 & point right lane, Florida, USA,I-295 & point rig heights, Florida, USA,I-295 & rig heights, Florida, USA"
5,None,None,None,None
6,-81.28071999999997,28.543100000000038,88.64,"SR 408, exit 16, Florida, USA"
7,"-80.17969049999999,-80.17969049999999,-80.2058805,-80.2058805,-80.26318999999995,-81.99151999999998","25.810659,25.810659,25.81240500000001,25.81240500000001,25.80758000000003,27.997990000000073","99.34,99.22,98.34,98.22,77.93,78.65","SR 112 & I-195, miami, Florida, USA,SR 112 & I-195, Florida, USA,SR 112 & I-95, miami, Florida, USA,SR 112 & I-95, Florida, USA,SR 112, exit 4, miami, Florida, USA,SR 112, exit 4, Florida, USA"
8,"-82.46852100000001,-84.27911999999998,-81.63437418124894,-82.454841,-87.23483999999999,-82.46852100000001,-82.454841,-82.47819999999996","27.956141999999996,30.587300000000027,28.139782556442103,28.032894,30.415409999999998,27.956141999999996,28.032894,27.972300000000075","95.67,79.29,88.66,99.61,83.48,95.91,90.82,90.08","I-275 & blvd rig heights, Florida, USA,I-275 & blocked la street, Florida, USA,I-275 & la street, Florida, USA,I-275 & busch boulevard, Florida, USA,I-275 & right lane, Florida, USA,I-275 & blvd right lane, Florida, USA,I-275 & beyond busch boulevard, Florida, USA,I-275 & rig heights, Florida, USA"
9,-81.28071999999997,28.543100000000038,88.64,"SR 408, exit 16, Florida, USA"
10,-81.35580734901838,28.670114811443604,87.66,"I-10, mile marker 339, Florida, USA"
11,"-82.46852100000001,-84.27911999999998,-81.63437418124894,-82.454841,-87.23483999999999,-82.46852100000001,-82.454841,-82.47819999999996","27.956141999999996,30.587300000000027,28.139782556442103,28.032894,30.415409999999998,27.956141999999996,28.032894,27.972300000000075","95.67,79.29,88.66,99.61,83.48,95.91,90.82,90.08","I-275 & blvd rig heights, Florida, USA,I-275 & blocked la street, Florida, USA,I-275 & la street, Florida, USA,I-275 & busch boulevard, Florida, USA,I-275 & right lane, Florida, USA,I-275 & blvd right lane, Florida, USA,I-275 & beyond busch boulevard, Florida, USA,I-275 & rig heights, Florida, USA"
12,"-80.30500999999998,-80.30500999999998","25.694070000000067,25.694070000000067","72.98,69.83","I-95, exit 6a, miami, Florida, USA,I-95, exit 6a, Florida, USA"
13,-81.28071999999997,28.543100000000038,88.64,"SR 408, exit 16, Florida, USA"
14,-82.249821,26.89484948124545,87.66,"I-95, mile marker 263, Florida, USA"
15,-82.26189908381903,26.89489350678068,87.66,"I-95, mile marker 165, Florida, USA"
16,-82.25657988536561,26.904424421865116,92.42,"SR 429, mile marker 24, Florida, USA"
17,"-80.17969049999999,-80.17969049999999,-80.2058805,-80.2058805,-80.26318999999995,-81.99151999999998","25.810659,25.810659,25.81240500000001,25.81240500000001,25.80758000000003,27.997990000000073","99.34,99.22,98.34,98.22,77.93,78.65","SR 112 & I-195, miami, Florida, USA,SR 112 & I-195, Florida, USA,SR 112 & I-95, miami, Florida, USA,SR 112 & I-95, Florida, USA,SR 112, exit 4, miami, Florida, USA,SR 112, exit 4, Florida, USA"
18,"-80.17969049999999,-80.17969049999999,-80.2058805,-80.2058805,-80.26318999999995,-81.99151999999998","25.810659,25.810659,25.81240500000001,25.81240500000001,25.80758000000003,27.997990000000073","99.34,99.22,98.34,98.22,77.93,78.65","SR 112 & I-195, miami, Florida, USA,SR 112 & I-195, Florida, USA,SR 112 & I-95, miami, Florida, USA,SR 112 & I-95, Florida, USA,SR 112, exit 4, miami, Florida, USA,SR 112, exit 4, Florida, USA"
19,"-80.2044135,-80.6620803102513,-80.30500999999998,-80.30500999999998","25.789104000000002,28.35076710449586,25.694070000000067,25.694070000000067","93.84,98.24,69.93,66.34","SR 836 & I-95, miami, Florida, USA,SR 836 & I-95, Florida, USA,SR 836, exit 3a, miami, Florida, USA,SR 836, exit 3a, Florida, USA"
20,"-80.2044135,-80.6620803102513,-80.30500999999998,-80.30500999999998","25.789104000000002,28.35076710449586,25.694070000000067,25.694070000000067","93.84,98.24,69.93,66.34","SR 836 & I-95, miami, Florida, USA,SR 836 & I-95, Florida, USA,SR 836, exit 3a, miami, Florida, USA,SR 836, exit 3a, Florida, USA"
21,"-80.2044135,-80.6620803102513,-80.30500999999998,-80.30500999999998","25.789104000000002,28.35076710449586,25.694070000000067,25.694070000000067","93.84,98.24,69.93,66.34","SR 836 & I-95, miami, Florida, USA,SR 836 & I-95, Florida, USA,SR 836, exit 3a, miami, Florida, USA,SR 836, exit 3a, Florida, USA"
22,None,None,None,None
23,-82.249821,26.89484948124545,87.66,"I-95, mile marker 263, Florida, USA"
24,-82.26189908381903,26.89489350678068,87.66,"I-95, mile marker 165, Florida, USA"
25,-82.26111158381903,26.894885481245446,87.66,"I-10, mile marker 171, Florida, USA"
26,"-84.27911999999998,-81.09416302670999,-81.63437418124894,-81.09416302670999,-81.691569,-81.691569,-80.79011511527169,-81.76247414186301,-81.76247414186301,-82.47819999999996","30.587300000000027,26.833696120770036,28.139782556442103,26.833696120770036,30.191472000000008,30.191472000000008,28.366153278550417,30.33188501769863,30.33188501769863,27.972300000000075","79.29,82.86,88.66,77.28,95.83,96.05,87.02,88.48,91.67,90.08","I-295 & blocked la street, Florida, USA,I-295 & obje court, Florida, USA,I-295 & la street, Florida, USA,I-295 & updated: obje court, Florida, USA,I-295 & buckman rig heights, Florida, USA,I-295 & buckman right lane, Florida, USA,I-295 & right lane, Florida, USA,I-295 & on road way, Florida, USA,I-295 & road way, Florida, USA,I-295 & rig heights, Florida, USA"
27,"-82.641663,-82.641663","27.76597200000001,27.76597200000001","99.22,99.22","I-175 & 6th street, Florida, USA,I-175 & at 6th street, Florida, USA"
28,"-80.3224305,-80.32269149999999,-80.32269149999999","25.854129,25.854326999999998,25.854326999999998","97.7,95.79,99.22","SR 826 & US 27, miami, Florida, USA,SR 826 & US 27, okeechobee, Florida, USA,SR 826 & US 27, Florida, USA"
29,-81.35670511489788,28.664432314771112,87.66,"I-10, mile marker 126, Florida, USA"
30,"-80.3224305,-80.32269149999999,-80.32269149999999","25.854129,25.854326999999998,25.854326999999998","97.7,95.79,99.22","SR 826 & US 27, miami, Florida, USA,SR 826 & US 27, okeechobee, Florida, USA,SR 826 & US 27, Florida, USA"
31,-82.2571413487219,26.903937469040432,92.42,"SR 528, mile marker 28, Florida, USA"
32,"-82.641663,-84.27911999999998,-81.63437418124894,-81.0925359798515,-82.64165849999999,-82.641663","27.76597200000001,30.587300000000027,28.139782556442103,26.833681209730244,27.7660395,27.76597200000001","88.96,79.29,88.66,83.95,96.16,99.22","I-175 & before 6th street, Florida, USA,I-175 & blocked la street, Florida, USA,I-175 & la street, Florida, USA,I-175 & ea street, Florida, USA,I-175 & i-175 ea street, Florida, USA,I-175 & 6th street, Florida, USA"
33,"-82.51383150000001,-82.597302,-82.51383999999996,-82.51383999999996","29.80161,29.999898000000012,29.801540000000045,29.801540000000045","99.34,99.22,98.01,95.45","I-75 & US 441, alachua, Florida, USA,I-75 & US 441, Florida, USA,I-75, exit 399, alachua, Florida, USA,I-75, exit 399, Florida, USA"
34,"-81.719568,-81.719568,-81.719568,-84.27911999999998,-81.719568,-81.8835165,-81.63437418124894,-81.7241715,-81.7241715,-81.7241715","30.296322000000004,30.296322000000004,30.296322000000004,30.587300000000027,30.296322000000004,28.80301500000001,28.139782556442103,30.292037999999998,30.292037999999998,30.292038000000005","100,98.86,97.88,79.29,99.41,97.24,88.66,100,100,99.41","SR 21 & blanding boulevard, Florida, USA,SR 21 & sr-21 blanding boulevard, Florida, USA,SR 21 & sr-21 b landing, Florida, USA,SR 21 & blocked la street, Florida, USA,SR 21 & b landing, Florida, USA,SR 21 & south at park, Florida, USA,SR 21 & la street, Florida, USA,SR 21 & at park street, Florida, USA,SR 21 & park street, Florida, USA,SR 21 & at park, Florida, USA"
35,"-81.30506765205747,-84.27911999999998,-81.397071,-81.404541,-82.63723949999999,-80.206479,-80.631621,-82.6370505,-80.206479,-80.206479,-80.206479,-80.14785999999998,-66.56016322599999,-82.63723949999999","29.047228637626944,30.587300000000027,28.525518000000005,28.435995,30.194073000000003,25.984413000000004,26.861337000000006,30.183912,25.984413000000004,25.984413000000004,25.984413000000004,25.981580000000065,18.37342545100006,30.194073000000003","80.19,78.55,95.96,85.48,89.37,93.18,98.63,92.75,99.02,90.77,99.61,85.79,80.87,97.14","US 441 & blvd left lane, Florida, USA,US 441 & blocked la street, Florida, USA,US 441 & in browa road, Florida, USA,US 441 & la street, Florida, USA,US 441 & blvd le fort, Florida, USA,US 441 & hallan dale, Florida, USA,US 441 & beach boulevard, Florida, USA,US 441 & browa road, Florida, USA,US 441 & hallandale beach, Florida, USA,US 441 & beyond hallandale beach, Florida, USA,US 441 & hallandale beach boulevard, Florida, USA,US 441 & beyond hallan dale, Florida, USA,US 441 & left lane, Florida, USA,US 441 & le fort, Florida, USA"
36,"-80.1995895,-84.27911999999998,-81.63437418124894,-82.47819999999996","25.775892,30.587300000000027,28.139782556442103,27.972300000000075","94.53,80.09,90.99,91.48","I-95 & 2 rig heights, Florida, USA,I-95 & blocked la street, Florida, USA,I-95 & la street, Florida, USA,I-95 & rig heights, Florida, USA"
37,None,None,None,None
38,"-80.2044135,-80.6620803102513,-80.30500999999998,-80.30500999999998","25.789104000000002,28.35076710449586,25.694070000000067,25.694070000000067","93.84,98.24,69.93,66.34","SR 836 & I-95, miami, Florida, USA,SR 836 & I-95, Florida, USA,SR 836, exit 3a, miami, Florida, USA,SR 836, exit 3a, Florida, USA"
