,x,y,match_scores,matched_addresses
0,-82.25902877601136,26.90224748014893,87.24,"I-10, mile marker 52, Florida, USA"
1,-85.37470999999994,30.754310000000032,95.24,"I-10, exit 130, Florida, USA"
2,-82.26533043937891,26.89596493505109,87.66,"I-10, mile marker 131, Florida, USA"
3,-82.26533043937891,26.89596493505109,87.66,"I-10, mile marker 131, Florida, USA"
4,-82.25867238536561,26.902572454613708,87.24,"I-10, mile marker 48, Florida, USA"
5,"-74.21516895680448,-82.47819999999996,-84.867291,-84.867291,-84.460878,-74.21516895680448","42.88395503083169,27.972300000000075,29.743254000000007,29.743254000000007,29.93004,42.88395503083169","87.27,90.08,95.43,95.68,88.6,81.9","SR 30 & la street, Florida, USA,SR 30 & rig heights, Florida, USA,SR 30 & 4 rig heights, Florida, USA,SR 30 & 4 right lane, Florida, USA,SR 30 & right lane, Florida, USA,SR 30 & blocked la street, Florida, USA"
6,-82.26332099999999,26.894948489324197,87.66,"I-10, mile marker 154, Florida, USA"
7,-86.74663999999996,30.700600000000065,95.66,"I-10, exit 45, Florida, USA"
8,-82.25867238536561,26.902572454613708,87.24,"I-10, mile marker 48, Florida, USA"
9,-87.08174999999994,30.53409000000005,95.44,"I-10, exit 22, Florida, USA"
10,-87.08174999999994,30.53409000000005,95.44,"I-10, exit 22, Florida, USA"
11,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
12,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
13,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
14,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
15,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
16,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
17,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
18,-87.00077999999996,30.593690000000038,95.44,"I-10, exit 28, Florida, USA"
19,-87.16334999999998,30.506440000000055,95.21,"I-10, exit 17, Florida, USA"
